Sample ID,Taxon,rpkm
PA1,Anaerolineae,73434.16687132
PA1,Gemmatimonadetes,24478.05562377
PA1,Polyangia,12439.66761208
PA1,Gammaproteobacteria,83867.43648145
PA1,Bacilli,12038.38801169
PA1,Bacteroidia,37319.00283624
PA1,Ignavibacteria,12840.94721247
PA1,UBA10030,16452.46361598
PA1,Alphaproteobacteria,10031.99000974
PA1,Vicinamibacteria,30095.97002923
PA1,Phycisphaerae,6019.19400585
PA1,RBG-16-71-46,7223.03280702
PA1,Verrucomicrobiae,8025.59200779
PA1,Myxococcia,9630.71040935
PA1,Thermoanaerobaculia,14044.78601364
PA1,Dehalococcoidia,8025.59200779
PA1,UBA4738,6420.47360624
PA1,unclassified,58185.54205651
