Sample ID,Taxon,Count
PA1,UBA4142,13
PA1,Gemmatimonadaceae,17
PA1,Haliangiaceae,13
PA1,Rhodocyclaceae,131
PA1,Chitinophagaceae,29
PA1,Ignavibacteriaceae,15
PA1,UBA4823,43
PA1,UBA8401,25
PA1,NAK82,19
PA1,Beggiatoaceae,18
PA1,Saprospiraceae,18
PA1,GWC2-71-9,35
PA1,RBG-16-71-46,16
PA1,Fen-336,20
PA1,UBA5066,27
PA1,Myxococcaceae,16
PA1,UBA2999,12
PA1,Tepidiformaceae,10
PA1,HRBIN12,13
PA1,Amphibacillaceae,22
PA1,Flavobacteriaceae,13
PA1,Polyangiaceae,13
PA1,Caldilineaceae,24
PA1,Promineifilaceae,12
PA1,JAKQTR01,14
PA1,Chromatiaceae,10
PA1,VGOW01,11
PA1,Phototrophicaceae,13
PA1,unclassified,451
