Sample ID,Taxon,rpkm
PA1,UBA4142,5216.63480507
PA1,Gemmatimonadaceae,6821.75320663
PA1,Haliangiaceae,5216.63480507
PA1,Rhodocyclaceae,52567.62765105
PA1,Chitinophagaceae,11637.1084113
PA1,Ignavibacteriaceae,6019.19400585
PA1,UBA4823,17255.02281676
PA1,UBA8401,10031.99000974
PA1,NAK82,7624.3124074
PA1,Beggiatoaceae,7223.03280702
PA1,Saprospiraceae,7223.03280702
PA1,GWC2-71-9,14044.78601364
PA1,RBG-16-71-46,6420.47360624
PA1,Fen-336,8025.59200779
PA1,UBA5066,10834.54921052
PA1,Myxococcaceae,6420.47360624
PA1,UBA2999,4815.35520468
PA1,Tepidiformaceae,4012.7960039
PA1,HRBIN12,5216.63480507
PA1,Amphibacillaceae,8828.15120857
PA1,Flavobacteriaceae,5216.63480507
PA1,Polyangiaceae,5216.63480507
PA1,Caldilineaceae,9630.71040935
PA1,Promineifilaceae,4815.35520468
PA1,JAKQTR01,5617.91440546
PA1,Chromatiaceae,4012.7960039
PA1,VGOW01,4414.07560429
PA1,Phototrophicaceae,5216.63480507
PA1,unclassified,180977.09977576
