Sample ID,Taxon,rpkm
PA1,JACRMI01,4012.7960039
PA1,UBA2376,4012.7960039
PA1,Sulfuricystis,10834.54921052
PA1,Desulfobacillus,4414.07560429
PA1,Azonexus,22471.65762182
PA1,RBG-16-57-11,8426.87160818
PA1,JAGVPT01,4414.07560429
PA1,JAICEW01,5216.63480507
PA1,SZUA-320,7624.3124074
PA1,UBA5066,5216.63480507
PA1,Lentibacillus,5617.91440546
PA1,JAKQTR01,5617.91440546
PA1,DSOS01,5216.63480507
PA1,VGOW01,4414.07560429
PA1,UBA8401,4012.7960039
PA1,G020343875,6420.47360624
PA1,unclassified,322628.79871334
