Sample ID,Taxon,Count
PA1,UBA4142,14
PA1,Gemmatimonadales,53
PA1,Haliangiales,13
PA1,Burkholderiales,148
PA1,Chitinophagales,47
PA1,Ignavibacteriales,23
PA1,Anaerolineales,68
PA1,UBA10030,41
PA1,Chromatiales,18
PA1,Rhizobiales,17
PA1,4572-78,27
PA1,Vicinamibacterales,51
PA1,Beggiatoales,18
PA1,RBG-16-71-46,16
PA1,Myxococcales,24
PA1,Fen-336,24
PA1,UBA5066,27
PA1,Verrucomicrobiales,12
PA1,Tepidiformales,10
PA1,UBA4738,13
PA1,Bacillales_D,22
PA1,Phycisphaerales,10
PA1,Flavobacteriales,17
PA1,Polyangiales,14
PA1,Caldilineales,24
PA1,Promineifilales,12
PA1,Aggregatilineales,17
PA1,Cytophagales,11
PA1,unclassified,282
