Sample ID,Taxon,rpkm
PA1,UBA4142,5617.91440546
PA1,Gemmatimonadales,21267.81882066
PA1,Haliangiales,5216.63480507
PA1,Burkholderiales,59389.38085768
PA1,Chitinophagales,18860.14121832
PA1,Ignavibacteriales,9229.43080896
PA1,Anaerolineales,27287.0128265
PA1,UBA10030,16452.46361598
PA1,Chromatiales,7223.03280702
PA1,Rhizobiales,6821.75320663
PA1,4572-78,10834.54921052
PA1,Vicinamibacterales,20465.25961988
PA1,Beggiatoales,7223.03280702
PA1,RBG-16-71-46,6420.47360624
PA1,Myxococcales,9630.71040935
PA1,Fen-336,9630.71040935
PA1,UBA5066,10834.54921052
PA1,Verrucomicrobiales,4815.35520468
PA1,Tepidiformales,4012.7960039
PA1,UBA4738,5216.63480507
PA1,Bacillales_D,8828.15120857
PA1,Phycisphaerales,4012.7960039
PA1,Flavobacteriales,6821.75320663
PA1,Polyangiales,5617.91440546
PA1,Caldilineales,9630.71040935
PA1,Promineifilales,4815.35520468
PA1,Aggregatilineales,6821.75320663
PA1,Cytophagales,4414.07560429
PA1,unclassified,113160.8473099
