Sample ID,Taxon,rpkm
PA1,Chloroflexota,82663.59768028
PA1,Gemmatimonadota,24478.05562377
PA1,Myxococcota,28089.57202728
PA1,Pseudomonadota,88682.79168613
PA1,Bacillota,8025.59200779
PA1,Bacteroidota,70223.9300682
PA1,Acidobacteriota,47350.99284599
PA1,Planctomycetota,9229.43080896
PA1,Eisenbacteria,7223.03280702
PA1,Verrucomicrobiota,8025.59200779
PA1,Proteobacteria,6821.75320663
PA1,Bdellovibrionota,4012.7960039
PA1,Actinobacteriota,5617.91440546
PA1,Firmicutes,4012.7960039
PA1,unclassified,36115.16403508
