Sample ID,Taxon,Count
PS4,JAOTYK01,25
PS4,JAHEDG01,10
PS4,JAFDET01,20
PS4,WS-11,16
PS4,JANQEY01,32
PS4,Benthicola,26
PS4,G020343875,20
PS4,UBA2589,14
PS4,WVZY01,27
PS4,Bu05,10
PS4,GCA-2748055,11
PS4,UBA11865,87
PS4,Thiolapillus,12
PS4,IDS-52,56
PS4,Lutimonas,36
PS4,CF-167,14
PS4,JAAETI01,11
PS4,G020351855,19
PS4,G020350785,16
PS4,G020350445,13
PS4,WVYX01,12
PS4,JABDQW01,48
PS4,Robiginitalea,26
PS4,SG8-38,56
PS4,JAJDYQ01,14
PS4,IGN2,11
PS4,JAUVPY01,24
PS4,JASJAX01,13
PS4,JAACFF01,37
PS4,JALSSV01,11
PS4,SSF26,11
PS4,CALZIK01,33
PS4,PFL25,16
PS4,SZUA-442,19
PS4,JALGVQ01,14
PS4,J065,16
PS4,Sulfomarinibacter,39
PS4,Lentibacillus,18
PS4,JABDNZ01,25
PS4,CALZJC01,25
PS4,41T-STBD-0c-01a,17
PS4,CALAKE01,21
PS4,JAFDCJ01,12
PS4,JANQRA01,18
PS4,JALSRI01,18
PS4,GCA-001735895,11
PS4,JACZWZ01,10
PS4,WVWW01,26
PS4,JAAUQL01,21
PS4,JAMPXJ01,10
PS4,Salinibacter,10
PS4,G020351775,15
PS4,GCA-020352575,23
PS4,Lentibacillus_C,10
PS4,JAAEQD01,14
PS4,JABGPL01,12
PS4,JAAYYY01,11
PS4,unclassified,1214
