Sample ID,Taxon,rpkm
PS4,JAOTYK01,4267.8881704
PS4,JAHEDG01,1707.15526816
PS4,JAFDET01,3414.31053632
PS4,WS-11,2731.44842906
PS4,JANQEY01,5462.89685812
PS4,Benthicola,4438.60369722
PS4,G020343875,3414.31053632
PS4,UBA2589,2390.01737543
PS4,WVZY01,4609.31922404
PS4,Bu05,1707.15526816
PS4,GCA-2748055,1877.87079498
PS4,UBA11865,14852.25083301
PS4,Thiolapillus,2048.58632179
PS4,IDS-52,9560.06950171
PS4,Lutimonas,6145.75896538
PS4,CF-167,2390.01737543
PS4,JAAETI01,1877.87079498
PS4,G020351855,3243.59500951
PS4,G020350785,2731.44842906
PS4,G020350445,2219.30184861
PS4,WVYX01,2048.58632179
PS4,JABDQW01,8194.34528718
PS4,Robiginitalea,4438.60369722
PS4,SG8-38,9560.06950171
PS4,JAJDYQ01,2390.01737543
PS4,IGN2,1877.87079498
PS4,JAUVPY01,4097.17264359
PS4,JASJAX01,2219.30184861
PS4,JAACFF01,6316.4744922
PS4,JALSSV01,1877.87079498
PS4,SSF26,1877.87079498
PS4,CALZIK01,5633.61238493
PS4,PFL25,2731.44842906
PS4,SZUA-442,3243.59500951
PS4,JALGVQ01,2390.01737543
PS4,J065,2731.44842906
PS4,Sulfomarinibacter,6657.90554583
PS4,Lentibacillus,3072.87948269
PS4,JABDNZ01,4267.8881704
PS4,CALZJC01,4267.8881704
PS4,41T-STBD-0c-01a,2902.16395587
PS4,CALAKE01,3585.02606314
PS4,JAFDCJ01,2048.58632179
PS4,JANQRA01,3072.87948269
PS4,JALSRI01,3072.87948269
PS4,GCA-001735895,1877.87079498
PS4,JACZWZ01,1707.15526816
PS4,WVWW01,4438.60369722
PS4,JAAUQL01,3585.02606314
PS4,JAMPXJ01,1707.15526816
PS4,Salinibacter,1707.15526816
PS4,G020351775,2560.73290224
PS4,GCA-020352575,3926.45711677
PS4,Lentibacillus_C,1707.15526816
PS4,JAAEQD01,2390.01737543
PS4,JABGPL01,2048.58632179
PS4,JAAYYY01,1877.87079498
PS4,unclassified,207248.64955483
