Sample ID,Taxon,rpkm
PS4,Halomicrobium,6185.23693096
PS4,JAFAHS01,12734.31132844
PS4,12-FULL-67-14b,4002.2121318
PS4,Roseovarius,1819.18733263
PS4,GCA-2729515,2546.86226569
PS4,JADZED01,2183.02479916
PS4,JAHENH01,2910.69973222
PS4,DSVZ01,2183.02479916
PS4,Cognaticolwellia,2183.02479916
PS4,UBA3939,2910.69973222
PS4,UBA8363,2546.86226569
PS4,CAIKLQ01,2910.69973222
PS4,JALUUK01,2001.1060659
PS4,Halioglobus,3456.45593201
PS4,PALSA-1104,2910.69973222
PS4,JAADHD01,2183.02479916
PS4,GCA-001735895,7458.6680638
PS4,Natrononativus,1819.18733263
PS4,WFXD01,1819.18733263
PS4,UBA9214,2364.94353243
PS4,Thiogranum,2728.78099895
PS4,Ruegeria,3274.53719874
PS4,unclassified,130617.65048318
