Sample ID,Taxon,Count
PS5,Anaerolineae,328
PS5,Bacteroidia,297
PS5,Dehalococcoidia,28
PS5,Alphaproteobacteria,62
PS5,Gammaproteobacteria,260
PS5,UBA1018,11
PS5,UBA2214,14
PS5,Chloroflexia,25
PS5,Rhodothermia,47
PS5,Desulfobacteria,23
PS5,Ellin6529,15
PS5,Polarisedimenticolia,71
PS5,Acidimicrobiia,84
PS5,Ignavibacteria,27
PS5,Calditrichia,19
PS5,Gemmatimonadetes,205
PS5,UBA9160,57
PS5,Bacilli,34
PS5,UBA10030,14
PS5,RBG-16-71-46,25
PS5,MSB-5A5,26
PS5,Terriglobia,16
PS5,Thermoanaerobaculia,56
PS5,Desulfomonilia,10
PS5,UBA6911,24
PS5,ARS69,20
PS5,Polyangia,62
PS5,Vicinamibacteria,20
PS5,Limnochordia,20
PS5,Bdellovibrionia,11
PS5,Krumholzibacteria,53
PS5,Phycisphaerae,33
PS5,Limnocylindria,18
PS5,UBA890,21
PS5,UBA1135,12
PS5,Electryoneia,15
PS5,unclassified,125
