Sample ID,Taxon,rpkm
PS5,Anaerolineae,60267.97198274
PS5,Bacteroidia,54571.91365511
PS5,Dehalococcoidia,5144.82687658
PS5,Alphaproteobacteria,11392.11665527
PS5,Gammaproteobacteria,47773.39242534
PS5,UBA1018,2021.18198723
PS5,UBA2214,2572.41343829
PS5,Chloroflexia,4593.59542551
PS5,Rhodothermia,8635.95939997
PS5,Desulfobacteria,4226.10779147
PS5,Ellin6529,2756.15725531
PS5,Polarisedimenticolia,13045.81100846
PS5,Acidimicrobiia,15434.48062973
PS5,Ignavibacteria,4961.08305956
PS5,Calditrichia,3491.13252339
PS5,Gemmatimonadetes,37667.48248921
PS5,UBA9160,10473.39757017
PS5,Bacilli,6247.2897787
PS5,UBA10030,2572.41343829
PS5,RBG-16-71-46,4593.59542551
PS5,MSB-5A5,4777.33924253
PS5,Terriglobia,2939.90107233
PS5,Thermoanaerobaculia,10289.65375315
PS5,Desulfomonilia,1837.43817021
PS5,UBA6911,4409.85160849
PS5,ARS69,3674.87634041
PS5,Polyangia,11392.11665527
PS5,Vicinamibacteria,3674.87634041
PS5,Limnochordia,3674.87634041
PS5,Bdellovibrionia,2021.18198723
PS5,Krumholzibacteria,9738.42230209
PS5,Phycisphaerae,6063.54596168
PS5,Limnocylindria,3307.38870637
PS5,UBA890,3858.62015743
PS5,UBA1135,2204.92580425
PS5,Electryoneia,2756.15725531
PS5,unclassified,22967.97712757
