Sample ID,Taxon,rpkm
PS5,Rhodobacterales,24671.05263158
PS5,Halobacteriales,12922.93233083
PS5,Enterobacterales,5286.65413534
PS5,Binatales,10181.70426065
PS5,Halorutilales,4699.2481203
PS5,Burkholderiales,10964.9122807
PS5,Rhizobiales,20167.60651629
PS5,GCA-001735895,12139.72431078
PS5,Limisphaerales,6657.26817043
PS5,Vicinamibacterales,8223.68421053
PS5,Pseudomonadales,13314.53634085
PS5,Steroidobacterales,1958.02005013
PS5,JADFVX01,3328.63408521
PS5,Chromatiales,2545.42606516
PS5,UBA8231,2349.62406015
PS5,Verrucomicrobiales,3524.43609023
PS5,Polyangiales,2349.62406015
PS5,Pedosphaerales,3132.8320802
PS5,GCA-2729495,2153.82205514
PS5,Kiloniellales,5090.85213033
PS5,JAHELT01,2741.22807018
PS5,SZUA-229,7440.47619048
PS5,UBA9214,4699.2481203
PS5,UBA9160,3720.23809524
PS5,unclassified,38181.39097744
