Sample ID,Taxon,rpkm
PS6,Bacteroidota,36744.13315253
PS6,Acidobacteriota,63840.36542143
PS6,ARS69,3079.11730328
PS6,Chloroflexota,134660.06339697
PS6,Bacillota,4926.58768526
PS6,Actinomycetota,17858.88035905
PS6,Gemmatimonadota,64866.73785586
PS6,Eisenbacteria,12111.19472625
PS6,Zixibacteria,7800.43050165
PS6,Myxococcota,10674.27331805
PS6,Pseudomonadota,21143.27214922
PS6,Krumholzibacteriota,9032.07742297
PS6,Planctomycetota,18679.97830659
PS6,Myxococcota_A,4516.03871148
PS6,Actinobacteriota,4721.31319837
PS6,Calditrichota,3694.94076394
PS6,Desulfobacterota,2052.74486886
PS6,KSB1,3079.11730328
PS6,Electryoneota,3694.94076394
PS6,Bacillota_G,2463.29384263
PS6,JAGLTZ01,2463.29384263
PS6,Bacillota_A,2873.8428164
PS6,Desulfobacterota_D,3284.39179017
PS6,unclassified,8210.97947543
