Sample ID,Taxon,rpkm
PS6,Haloferacaceae,2624.94750105
PS6,Rhodobacteraceae,11374.77250455
PS6,Binataceae,12687.24625507
PS6,Rhodocyclaceae,6343.62312754
PS6,Haloarculaceae,10937.28125437
PS6,Methyloligellaceae,2843.69312614
PS6,Natrialbaceae,3062.43875122
PS6,Thiobacillaceae,4374.91250175
PS6,Rhizobiaceae,4812.40375192
PS6,Palsa-1104,3937.42125157
PS6,GCA-002770795,3062.43875122
PS6,Sedimenticolaceae,2406.20187596
PS6,Ga0077536,2187.45625087
PS6,Burkholderiaceae,10937.28125437
PS6,UBA2999,2187.45625087
PS6,UBA11358,2187.45625087
PS6,SMYC01,2187.45625087
PS6,Hyphomicrobiaceae,2406.20187596
PS6,UBA6429,2187.45625087
PS6,unclassified,67811.14377712
