Sample ID,Taxon,Count
PS7,SZUA-229,50
PS7,Flavobacteriaceae,90
PS7,Bryobacteraceae,18
PS7,Promineifilaceae,151
PS7,4484-95,11
PS7,RBG-16-71-46,20
PS7,UBA1924,27
PS7,UBA5704,57
PS7,Cyclobacteriaceae,50
PS7,JAFDCJ01,22
PS7,UBA4427,25
PS7,Electryoneaceae,34
PS7,J045,22
PS7,ZC4RG35,18
PS7,Promineofilaceae,11
PS7,Sedimenticolaceae,39
PS7,NAK82,51
PS7,UBA6960,75
PS7,Chromatiaceae,17
PS7,RPQK01,15
PS7,Polarisedimenticolaceae,58
PS7,LZORAL124-64-63,31
PS7,UBA4823,30
PS7,J111,82
PS7,UBA5794,40
PS7,GCA-001735895,32
PS7,GWC2-71-9,42
PS7,Caldilineaceae,35
PS7,Ardenticatenaceae,24
PS7,Melioribacteraceae,10
PS7,Saprospiraceae,56
PS7,JABDKH01,15
PS7,ARS69,24
PS7,UBA6429,13
PS7,UBA6930,10
PS7,Bu05,22
PS7,UBA2386,15
PS7,SM1A02,12
PS7,Phototrophicaceae,49
PS7,SG8-38,22
PS7,Palauibacteraceae,17
PS7,PLA2,12
PS7,GCF-002020875,10
PS7,Phycisphaeraceae,18
PS7,GCA-2748055,16
PS7,UBA1018,10
PS7,JAFDET01,14
PS7,JAADGX01,10
PS7,CSP1-4,16
PS7,P2-11E,13
PS7,UBA890,14
PS7,JAENVV01,12
PS7,Amphibacillaceae,16
PS7,Roseiflexaceae,14
PS7,unclassified,615
