Sample ID,Taxon,rpkm
PS7,SZUA-229,8464.81734109
PS7,Flavobacteriales,17437.52372265
PS7,Marinisomatales,2539.44520233
PS7,Bryobacterales,3047.33424279
PS7,Promineifilales,25563.7483701
PS7,UBA10806,3047.33424279
PS7,Desulfobacterales,4232.40867055
PS7,RBG-16-71-46,3724.51963008
PS7,Phycisphaerales,9649.89176885
PS7,Multivoradales,9649.89176885
PS7,Cytophagales,8803.41003474
PS7,GN15,3385.92693644
PS7,UBA9160,8972.70638156
PS7,Electryoneales,5756.07579194
PS7,J045,3724.51963008
PS7,UBA5794,12697.22601164
PS7,Promineofilales,1862.25981504
PS7,Chromatiales,9480.59542202
PS7,4572-78,22516.41412731
PS7,Longimicrobiales,13713.00409257
PS7,RPQK01,2539.44520233
PS7,Acidimicrobiales,2878.03789597
PS7,Polarisedimenticolales,9819.18811567
PS7,LZORAL124-64-63,5248.18675148
PS7,Anaerolineales,5248.18675148
PS7,GCA-001735895,5417.4830983
PS7,Gemmatimonadales,7787.63195381
PS7,Caldilineales,5925.37213876
PS7,Ardenticatenales,4063.11232372
PS7,Ignavibacteriales,3047.33424279
PS7,Chitinophagales,11004.26254342
PS7,Rhodothermales,7279.74291334
PS7,ARS69,4063.11232372
PS7,RBG-13-44-9,2031.55616186
PS7,UBA6429,2200.85250868
PS7,Rhodospirillales_A,3216.63058962
PS7,Limnochordales,3724.51963008
PS7,UBA2386,3047.33424279
PS7,Aggregatilineales,9988.48446249
PS7,Polyangiales,5417.4830983
PS7,Palauibacterales,4063.11232372
PS7,PLA2,2031.55616186
PS7,GCF-002020875,1692.96346822
PS7,Campylobacterales,1862.25981504
PS7,Bacteroidales,3216.63058962
PS7,UBA1018,1692.96346822
PS7,SZUA-365,1692.96346822
PS7,Limnocylindrales,1692.96346822
PS7,P2-11E,2200.85250868
PS7,Rhizobiales,1862.25981504
PS7,UBA890,2370.14885551
PS7,Kapaibacteriales,1692.96346822
PS7,Myxococcales,1862.25981504
PS7,Bacillales_D,2708.74154915
PS7,Chloroflexales,2370.14885551
PS7,unclassified,62639.64832408
