Sample ID,Taxon,Count
PS7,Pseudomonadota,248
PS7,Desulfobacterota,41
PS7,Bacteroidota,337
PS7,Marinisomatota,21
PS7,Acidobacteriota,213
PS7,Chloroflexota,537
PS7,Zixibacteria,38
PS7,Eisenbacteria,24
PS7,Planctomycetota,104
PS7,Myxococcota_A,54
PS7,Electryoneota,40
PS7,Actinomycetota,95
PS7,Gemmatimonadota,153
PS7,KSB1,20
PS7,Krumholzibacteriota,38
PS7,SAR324,10
PS7,Myxococcota,52
PS7,ARS69,24
PS7,Calditrichota,17
PS7,Bacillota_G,22
PS7,Bdellovibrionota,24
PS7,Campylobacterota,11
PS7,Bacillota,33
PS7,unclassified,76
