Sample ID,Taxon,Count
PS7,GCA-2731375,10
PS7,Binataceae,38
PS7,Rhizobiaceae,41
PS7,Alteromonadaceae,13
PS7,Palsa-1104,14
PS7,Haloarculaceae,38
PS7,Hyphomicrobiaceae,15
PS7,J093,16
PS7,UBA6429,38
PS7,UBA11358,10
PS7,JAHELT01,28
PS7,Burkholderiaceae,31
PS7,Haloferacaceae,12
PS7,UBA9214,17
PS7,Rhodobacteraceae,83
PS7,JADFVX01,27
PS7,CAJQPC01,11
PS7,UBA2999,22
PS7,JACTMU01,10
PS7,Sedimenticolaceae,34
PS7,S012-40,24
PS7,UBA2385,12
PS7,GCA-001735895,66
PS7,JAKSDN01,10
PS7,UBA8231,16
PS7,Oleiphilaceae,12
PS7,UBA828,19
PS7,DAOVJZ01,13
PS7,Rhodocyclaceae,10
PS7,DSM-19610,19
PS7,SZUA-229,31
PS7,HK1,17
PS7,Halieaceae,16
PS7,Stappiaceae,19
PS7,UBA4427,11
PS7,unclassified,472
