Sample ID,Taxon,Count
PS7,GCA-2731375,10
PS7,Binatales,38
PS7,Rhizobiales,117
PS7,Enterobacterales,38
PS7,Palsa-1104,14
PS7,Xanthomonadales,19
PS7,Halobacteriales,64
PS7,Limisphaerales,30
PS7,Rhodospirillales,10
PS7,Pedosphaerales,14
PS7,UBA6429,38
PS7,Pseudomonadales,57
PS7,Burkholderiales,60
PS7,JAHELT01,28
PS7,UBA9214,17
PS7,Rhodobacterales,83
PS7,JADFVX01,27
PS7,UBA796,23
PS7,UBA9160,22
PS7,Vicinamibacterales,24
PS7,Bdellovibrionales,10
PS7,Chromatiales,34
PS7,S012-40,24
PS7,Polyangiales,17
PS7,GCA-001735895,66
PS7,Kiloniellales,31
PS7,UBA8231,16
PS7,Thermodesulfovibrionales,17
PS7,UBA828,19
PS7,DAOVJZ01,13
PS7,DSM-19610,19
PS7,SZUA-229,31
PS7,HK1,17
PS7,unclassified,228
