Sample ID,Taxon,rpkm
PS7,unclassified,193215.27537236
PS7,JAHELT01_sp029861595_nosZI,4690.56690913
PS7,SZUA-186_sp020344335_nosZI,2345.28345457
PS7,JAOUBX01_sp029860075_nosZI,4690.56690913
PS7,JAAESX01_sp024228935_nosZI,1804.06419582
PS7,Unclassified_Species_nosZI,4329.75406997
PS7,JAHEDB01_sp024641465_nosZI,2164.87703498
PS7,JAOUJM01_sp029883265_nosZI,3247.31555248
PS7,GCA-001735895_sp024229615_nosZI,1804.06419582
PS7,GCA-001735895_sp003645435_nosZI,2525.68987415
PS7,JAABYT01_sp009937425_nosZI,2706.09629373
PS7,JAKITT01_sp027068675_nosZI,1804.06419582
PS7,GCA-001735895_sp020354435_nosZI,4690.56690913
