Sample ID,Taxon,rpkm
PS9,SZUA-229,6764.15554156
PS9,Flavobacteriaceae,20678.98979849
PS9,UBA4427,3671.97015113
PS9,LZORAL124-64-63,3285.44697733
PS9,JABDKH01,1932.61586902
PS9,UBA5704,7537.20188917
PS9,UBA1924,5797.84760705
PS9,UBA6960,16813.75806046
PS9,GWC2-71-9,13335.04949623
PS9,Saprospiraceae,9663.07934509
PS9,Phototrophicaceae,2125.87745592
PS9,PLA2,2705.66221663
PS9,Promineifilaceae,22804.86725441
PS9,RBG-16-71-46,3285.44697733
PS9,CSP1-4,6377.63236776
PS9,UBA5794,9856.34093199
PS9,Bu05,3092.18539043
PS9,Sedimenticolaceae,5797.84760705
PS9,Palauibacteraceae,10049.60251889
PS9,JAGLTZ01,3865.23173804
PS9,Cyclobacteriaceae,6570.89395466
PS9,RPQK01,5797.84760705
PS9,Ignavibacteriaceae,3671.97015113
PS9,KS3-K002,4831.53967255
PS9,UBA4823,9663.07934509
PS9,UBA10348,2512.40062972
PS9,Polarisedimenticolaceae,9083.29458439
PS9,NAK82,11982.21838791
PS9,SG8-38,7730.46347607
PS9,UBA11373,3285.44697733
PS9,Caldilineaceae,10049.60251889
PS9,J102,1932.61586902
PS9,UBA1018,2125.87745592
PS9,J111,7730.46347607
PS9,JAENVV01,5797.84760705
PS9,UBA6429,2705.66221663
PS9,ARS69,3865.23173804
PS9,Ardenticatenaceae,3865.23173804
PS9,UBA5066,1932.61586902
PS9,Sulfomarinibacteraceae,3285.44697733
PS9,J045,3478.70856423
PS9,UBA6930,1932.61586902
PS9,GCA-001735895,1932.61586902
PS9,QHBO01,2125.87745592
PS9,Bryobacteraceae,4058.49332494
PS9,UBA890,4445.01649874
PS9,HRBIN12,2125.87745592
PS9,ZC4RG35,2705.66221663
PS9,JAFDET01,2705.66221663
PS9,Amphibacillaceae,3865.23173804
PS9,UBA2386,2512.40062972
PS9,Melioribacteraceae,2512.40062972
PS9,E44-bin32,1932.61586902
PS9,Electryoneaceae,3092.18539043
PS9,Fen-336,2512.40062972
PS9,JAAEKA01,3092.18539043
PS9,WVZY01,2512.40062972
PS9,unclassified,97017.31662471
