Sample ID,Taxon,Count
PS9,Anaerolineales,68
PS9,SZUA-229,35
PS9,Flavobacteriales,114
PS9,UBA9160,52
PS9,LZORAL124-64-63,17
PS9,Rhodothermales,44
PS9,Multivoradales,42
PS9,Phycisphaerales,47
PS9,Longimicrobiales,89
PS9,RBG-13-44-9,10
PS9,Gemmatimonadales,73
PS9,Chitinophagales,53
PS9,Aggregatilineales,15
PS9,PLA2,14
PS9,Promineifilales,118
PS9,RBG-16-71-46,17
PS9,Limnocylindrales,18
PS9,GN15,12
PS9,UBA5794,112
PS9,Limnochordales,16
PS9,Chromatiales,38
PS9,Vicinamibacterales,13
PS9,Palauibacterales,77
PS9,JAGLTZ01,20
PS9,Cytophagales,39
PS9,RPQK01,30
PS9,Acidimicrobiales,10
PS9,Ignavibacteriales,32
PS9,UBA2386,16
PS9,Polarisedimenticolales,47
PS9,4572-78,102
PS9,Polyangiales,45
PS9,Caldilineales,57
PS9,J102,10
PS9,UBA1018,11
PS9,CSP1-4,15
PS9,UBA6429,14
PS9,ARS69,20
PS9,Ardenticatenales,20
PS9,UBA5066,10
PS9,Thermoanaerobaculales,17
PS9,J045,18
PS9,GCA-001735895,10
PS9,QHBO01,11
PS9,Burkholderiales,11
PS9,Bryobacterales,21
PS9,UBA890,23
PS9,UBA4738,11
PS9,Bacillales_D,20
PS9,Electryoneales,16
PS9,Fen-336,13
PS9,JAAEKA01,11
PS9,WVZY01,13
PS9,unclassified,347
