Sample ID,Taxon,rpkm
PS9,JABDQW01_sp937998645_nosZII,3285.44697733
PS9,unclassified,280229.30100763
PS9,CALZIK01_sp024224155_nosZII,3092.18539043
PS9,WVYX01_sp020350425_nosZII,2319.13904282
PS9,Unclassified_Species_nosZII,22804.86725441
PS9,UBA11865_sp024638855_nosZII,3478.70856423
PS9,JALGVQ01_sp025774615_nosZII,3671.97015113
PS9,JAAUQL01_sp022360055_nosZII,1932.61586902
PS9,G020350445_sp030597245_nosZII,5218.06284635
PS9,JASJAX01_sp030066755_nosZII,2512.40062972
PS9,PFL25_sp937968125_nosZII,3671.97015113
PS9,G020343875_sp020343875_nosZII,5797.84760705
PS9,JAOTYK01_sp029861955_nosZII,2319.13904282
PS9,JACZWZ01_sp029263095_nosZII,2319.13904282
PS9,GCA-020352575_sp020352575_nosZII,5604.58602015
PS9,JALGZO01_sp025774865_nosZII,2898.92380353
PS9,SG8-38_sp020351445_nosZII,3092.18539043
PS9,Sulfomarinibacter_sp029938595_nosZII,3092.18539043
PS9,JAUVPY01_sp030598425_nosZII,5797.84760705
PS9,JALSRK01_sp026984795_nosZII,2705.66221663
PS9,JAJRVO01_sp024277275_nosZII,2898.92380353
PS9,G020351855_sp020351855_nosZII,2319.13904282
PS9,JANQQF01_sp028285035_nosZII,1932.61586902
PS9,JANQRA01_sp028284765_nosZII,2705.66221663
PS9,UBA11865_sp003519205_nosZII,6957.41712847
PS9,JABDNZ01_sp028278645_nosZII,4638.27808564
PS9,J065_sp024276295_nosZII,2898.92380353
PS9,RBG-16-57-11_sp001795165_nosZII,2125.87745592
PS9,Benthicola_azotiphorus_nosZII,4058.49332494
PS9,WVWW01_sp011773795_nosZII,6184.37078086
PS9,G020350785_sp020350785_nosZII,2512.40062972
PS9,CALZJC01_sp945787525_nosZII,2319.13904282
PS9,JAOTVV01_sp029862935_nosZII,2125.87745592
PS9,JANQEY01_sp028278125_nosZII,2898.92380353
