richness	PA1	PS4	PS5	PS6	PS7	PS9
1	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0
5	2.00	0.0	0.0	1.000	0.0	0.0
6	2.00	0.0	0.0	1.000	0.0	0.0
7	2.00	1.000	1.000	1.000	3.00	1.000
8	6.00	2.00	0.0	1.000	2.00	0.0
9	5.00	2.00	2.00	3.00	2.00	0.0
10	10.00	2.00	3.00	4.00	2.00	4.00
11	9.00	3.00	2.00	4.00	4.00	4.00
12	11.0	6.00	5.00	6.00	6.00	3.00
13	13.0	6.00	5.00	4.00	8.00	5.00
14	15.0	8.00	7.00	9.00	10.00	8.00
15	17.0	7.00	10.00	10.00	6.00	6.00
16	15.0	12.0	13.0	12.0	9.00	8.00
17	20.0	13.0	12.0	11.0	14.0	12.0
18	22.0	14.0	12.0	13.0	13.0	17.0
19	20.0	14.0	14.0	18.0	12.0	15.0
20	22.0	12.0	14.0	21.0	16.0	17.0
21	25.0	15.0	18.0	22.0	21.0	15.0
22	20.0	20.0	16.0	24.0	21.0	22.0
23	25.0	20.0	18.0	26.0	23.0	22.0
24	27.0	20.0	20.0	29.0	23.0	22.0
25	26.0	22.0	20.0	29.0	24.0	26.0
26	27.0	26.0	22.0	27.0	23.0	28.0
27	26.0	27.0	24.0	31.0	29.0	31.0
28	27.0	28.0	27.0	33.0	27.0	31.0
29	24.0	29.0	27.0	32.0	28.0	36.0
30	28.0	30.0	30.0	35.0	31.0	36.0
31	28.0	33.0	27.0	32.0	28.0	37.0
32	30.0	28.0	33.0	40.0	32.0	37.0
33	31.0	35.0	32.0	39.0	33.0	42.0
34	30.0	38.0	34.0	38.0	36.0	41.0
35	32.0	37.0	37.0	41.0	37.0	40.0
36	32.0	36.0	34.0	43.0	37.0	43.0
37	30.0	38.0	37.0	40.0	37.0	41.0
38	30.0	37.0	36.0	40.0	36.0	41.0
39	32.0	35.0	43.0	43.0	38.0	43.0
40	32.0	39.0	38.0	41.0	45.0	49.0
41	32.0	41.0	43.0	43.0	36.0	43.0
42	32.0	44.0	39.0	43.0	40.0	49.0
43	34.0	43.0	39.0	43.0	47.0	50.0
44	33.0	45.0	45.0	45.0	48.0	43.0
45	32.0	46.0	43.0	48.0	45.0	50.0
46	33.0	45.0	45.0	46.0	46.0	50.0
47	33.0	51.0	46.0	47.0	46.0	51.0
48	33.0	47.0	46.0	47.0	47.0	52.0
49	33.0	53.0	51.0	50.0	51.0	56.0
50	32.0	53.0	51.0	48.0	49.0	53.0
51	32.0	51.0	54.0	49.0	52.0	53.0
52	34.0	49.0	54.0	48.0	56.0	58.0
53	34.0	55.0	57.0	52.0	57.0	54.0
54	35.0	56.0	56.0	50.0	54.0	59.0
55	32.0	54.0	54.0	55.0	53.0	59.0
56	34.0	60.0	54.0	52.0	60.0	60.0
57	35.0	60.0	59.0	53.0	63.0	59.0
58	34.0	58.0	61.0	56.0	59.0	58.0
59	34.0	58.0	60.0	52.0	58.0	64.0
60	34.0	61.0	63.0	57.0	60.0	62.0
61	35.0	58.0	63.0	54.0	59.0	59.0
62	34.0	64.0	64.0	54.0	64.0	61.0
63	35.0	62.0	63.0	58.0	66.0	64.0
64	34.0	64.0	68.0	57.0	60.0	62.0
65	35.0	66.0	67.0	55.0	62.0	63.0
66	35.0	67.0	66.0	57.0	63.0	64.0
67	34.0	67.0	70.0	56.0	64.0	63.0
68	35.0	68.0	70.0	57.0	66.0	64.0
69	34.0	65.0	70.0	56.0	64.0	61.0
70	35.0	65.0	68.0	58.0	66.0	64.0
71	35.0	64.0	68.0	59.0	64.0	63.0
72	35.0	68.0	69.0	58.0	65.0	65.0
73	35.0	66.0	70.0	58.0	64.0	66.0
74	34.0	69.0	70.0	59.0	67.0	65.0
75	35.0	67.0	70.0	59.0	66.0	64.0
76	35.0	69.0	71.0	59.0	65.0	62.0
77	35.0	68.0	71.0	59.0	65.0	66.0
78	35.0	69.0	71.0	58.0	67.0	66.0
79	35.0	68.0	71.0	59.0	66.0	66.0
80	35.0	67.0	70.0	58.0	67.0	66.0
81	34.0	69.0	71.0	59.0	67.0	66.0
82	35.0	68.0	70.0	59.0	67.0	65.0
83	35.0	68.0	71.0	59.0	66.0	65.0
84	35.0	68.0	71.0	59.0	67.0	65.0
85	35.0	69.0	71.0	59.0	66.0	65.0
86	35.0	69.0	71.0	58.0	66.0	66.0
87	35.0	68.0	71.0	59.0	67.0	66.0
88	35.0	69.0	71.0	59.0	67.0	66.0
89	35.0	69.0	71.0	59.0	67.0	66.0
90	35.0	68.0	71.0	59.0	67.0	66.0
91	35.0	69.0	70.0	59.0	67.0	66.0
92	35.0	69.0	71.0	59.0	67.0	66.0
93	35.0	69.0	70.0	59.0	67.0	66.0
94	35.0	69.0	71.0	59.0	67.0	66.0
95	35.0	69.0	71.0	59.0	67.0	64.0
96	35.0	69.0	71.0	59.0	67.0	66.0
97	35.0	69.0	71.0	59.0	67.0	66.0
98	35.0	69.0	71.0	59.0	67.0	66.0
99	35.0	69.0	71.0	59.0	67.0	66.0
100	35.0	69.0	71.0	59.0	67.0	66.0
