#OTUID	PA1	PS4	PS5	PS6	PS7	PS9
OTU_1002	0	0	0	0	1	0
OTU_1010	0	1	0	4	0	2
OTU_1011	0	0	0	0	0	0
OTU_1025	0	0	0	0	0	1
OTU_1059	2	0	0	1	0	0
OTU_1070	0	0	0	0	0	0
OTU_1087	0	0	0	0	4	0
OTU_1128	0	0	1	0	0	1
OTU_113	4	0	0	1	4	3
OTU_1140	0	0	0	0	0	2
OTU_1149	0	0	0	0	0	2
OTU_1152	0	0	1	0	0	1
OTU_1160	0	0	1	0	1	0
OTU_1188	0	0	0	0	0	0
OTU_1191	0	0	1	2	2	0
OTU_1192	1	0	1	0	1	0
OTU_1203	0	0	1	0	2	0
OTU_1204	0	0	0	0	1	3
OTU_1210	2	0	1	0	0	0
OTU_1218	0	2	0	0	0	0
OTU_1225	0	0	0	0	0	2
OTU_1226	4	1	1	0	1	0
OTU_1229	2	0	0	0	0	0
OTU_1232	4	0	0	0	0	0
OTU_1236	0	2	0	0	3	0
OTU_1246	0	2	3	1	0	1
OTU_1247	2	0	0	9	0	0
OTU_1251	0	0	0	0	2	2
OTU_1252	0	1	0	0	0	3
OTU_1258	0	0	1	0	0	0
OTU_1259	0	2	3	0	0	0
OTU_1260	0	0	3	0	0	0
OTU_1262	0	2	2	0	0	1
OTU_1266	0	1	2	0	0	1
OTU_1267	0	1	0	0	0	1
OTU_1272	0	0	0	0	3	0
OTU_1278	0	0	0	0	1	0
OTU_1279	0	1	0	1	0	0
OTU_1281	4	1	2	0	3	1
OTU_129	0	0	0	0	0	0
OTU_1301	0	0	0	0	0	2
OTU_1305	0	0	0	0	2	1
OTU_1308	0	0	1	0	2	1
OTU_1314	0	0	0	0	0	2
OTU_1318	0	0	0	1	0	1
OTU_1333	0	0	0	0	3	0
OTU_1334	0	0	0	0	0	2
OTU_1336	0	1	0	0	1	0
OTU_1341	0	0	0	0	1	0
OTU_1352	0	0	0	3	0	0
OTU_136	0	2	0	0	0	0
OTU_1364	0	3	2	1	0	3
OTU_1368	0	0	0	2	2	0
OTU_1370	0	2	1	0	0	0
OTU_138	4	2	0	0	0	0
OTU_1388	0	1	0	1	0	3
OTU_1391	2	0	2	0	0	0
OTU_1394	0	0	3	0	1	0
OTU_1403	0	0	0	0	0	4
OTU_1404	0	0	1	0	0	0
OTU_1405	0	2	0	0	0	1
OTU_1410	0	0	2	0	0	0
OTU_1413	0	0	4	0	2	0
OTU_1415	0	0	0	0	0	0
OTU_1418	8	0	0	1	0	1
OTU_1421	0	0	5	0	0	0
OTU_1423	0	0	1	0	3	0
OTU_1424	0	4	0	0	0	2
OTU_1425	0	0	1	0	0	0
OTU_1426	0	1	1	0	0	0
OTU_1427	0	0	4	0	0	0
OTU_1434	0	0	0	0	2	2
OTU_1436	0	0	0	2	0	0
OTU_1442	0	0	1	0	1	1
OTU_1444	0	0	1	1	0	0
OTU_1448	0	2	0	0	2	1
OTU_1450	2	0	0	3	0	2
OTU_1451	0	1	1	0	1	0
OTU_1456	0	1	1	0	4	0
OTU_1460	0	2	0	0	0	0
OTU_1461	0	2	0	0	0	0
OTU_1462	0	2	2	0	2	0
OTU_1464	0	1	0	0	0	2
OTU_1465	0	0	0	0	0	1
OTU_1467	6	0	0	0	0	0
OTU_1471	6	0	0	0	0	0
OTU_1472	2	0	0	0	1	0
OTU_1473	6	0	0	0	0	0
OTU_1482	0	0	0	2	0	2
OTU_149	0	5	1	0	1	3
OTU_1491	0	0	0	3	0	0
OTU_1501	0	1	0	0	1	0
OTU_1506	0	0	0	0	0	0
OTU_1512	0	8	5	1	2	4
OTU_1515	4	0	0	2	0	2
OTU_1517	0	0	0	2	0	0
OTU_1518	0	0	1	0	0	0
OTU_1522	0	1	1	0	0	0
OTU_1527	0	2	0	0	0	0
OTU_1528	0	2	0	0	0	0
OTU_1533	0	0	0	1	0	2
OTU_1537	0	1	0	2	0	0
OTU_1573	0	0	0	3	1	0
OTU_1577	1	0	0	2	3	0
OTU_1578	0	0	0	0	1	0
OTU_1579	0	0	0	0	0	0
OTU_1580	0	0	5	0	1	0
OTU_1583	0	0	0	0	1	0
OTU_1586	0	0	0	0	1	0
