"Group","Source","Target","Weight","Correlation","Direction"
"LS","OTU_1002","OTU_1128",1,1,"Positive"
"LS","OTU_1002","OTU_1152",1,1,"Positive"
"LS","OTU_1002","OTU_1191",1,1,"Positive"
"LS","OTU_1002","OTU_1258",1,1,"Positive"
"LS","OTU_1002","OTU_1260",1,1,"Positive"
"LS","OTU_1002","OTU_1301",1,1,"Positive"
"LS","OTU_1002","OTU_1308",1,1,"Positive"
"LS","OTU_1002","OTU_1333",1,1,"Positive"
"LS","OTU_1002","OTU_1394",1,1,"Positive"
"LS","OTU_1002","OTU_1403",1,1,"Positive"
"LS","OTU_1002","OTU_1404",1,1,"Positive"
"LS","OTU_1002","OTU_1410",1,1,"Positive"
"LS","OTU_1002","OTU_1413",1,1,"Positive"
"LS","OTU_1002","OTU_1415",1,1,"Positive"
"LS","OTU_1002","OTU_1421",1,1,"Positive"
"LS","OTU_1002","OTU_1423",1,1,"Positive"
"LS","OTU_1002","OTU_1425",1,1,"Positive"
"LS","OTU_1002","OTU_1427",1,1,"Positive"
"LS","OTU_1002","OTU_1518",1,1,"Positive"
"LS","OTU_1002","OTU_1533",1,1,"Positive"
"LS","OTU_1002","OTU_1580",1,1,"Positive"
"LS","OTU_1002","OTU_1616",1,1,"Positive"
"LS","OTU_1002","OTU_1617",1,1,"Positive"
"LS","OTU_1002","OTU_1692",1,1,"Positive"
"LS","OTU_1002","OTU_1704",1,1,"Positive"
"LS","OTU_1002","OTU_1708",1,1,"Positive"
"LS","OTU_1002","OTU_29",1,1,"Positive"
"LS","OTU_1002","OTU_292",1,1,"Positive"
"LS","OTU_1002","OTU_308",1,1,"Positive"
"LS","OTU_1002","OTU_322",1,1,"Positive"
"LS","OTU_1002","OTU_400",1,1,"Positive"
"LS","OTU_1002","OTU_442",1,1,"Positive"
"LS","OTU_1002","OTU_457",1,1,"Positive"
"LS","OTU_1002","OTU_467",1,1,"Positive"
"LS","OTU_1002","OTU_479",1,1,"Positive"
"LS","OTU_1002","OTU_481",1,1,"Positive"
"LS","OTU_1002","OTU_515",1,1,"Positive"
"LS","OTU_1002","OTU_58",1,1,"Positive"
"LS","OTU_1002","OTU_633",1,1,"Positive"
"LS","OTU_1002","OTU_778",1,1,"Positive"
"LS","OTU_1002","OTU_92",1,1,"Positive"
"LS","OTU_1002","OTU_984",1,1,"Positive"
"LS","OTU_1010","OTU_113",1,-1,"Negative"
"LS","OTU_1010","OTU_1188",1,1,"Positive"
"LS","OTU_1010","OTU_1262",1,1,"Positive"
"LS","OTU_1010","OTU_1281",1,-1,"Negative"
"LS","OTU_1010","OTU_1364",1,1,"Positive"
"LS","OTU_1010","OTU_1370",1,1,"Positive"
"LS","OTU_1010","OTU_1391",1,-1,"Negative"
"LS","OTU_1010","OTU_1405",1,1,"Positive"
"LS","OTU_1010","OTU_1424",1,1,"Positive"
"LS","OTU_1010","OTU_1426",1,1,"Positive"
"LS","OTU_1010","OTU_1450",1,-1,"Negative"
"LS","OTU_1010","OTU_1456",1,1,"Positive"
"LS","OTU_1010","OTU_1460",1,1,"Positive"
"LS","OTU_1010","OTU_1512",1,1,"Positive"
"LS","OTU_1010","OTU_1515",1,-1,"Negative"
"LS","OTU_1010","OTU_1522",1,1,"Positive"
"LS","OTU_1010","OTU_1527",1,1,"Positive"
"LS","OTU_1010","OTU_1537",1,1,"Positive"
"LS","OTU_1010","OTU_1594",1,1,"Positive"
"LS","OTU_1010","OTU_1652",1,1,"Positive"
"LS","OTU_1010","OTU_1653",1,1,"Positive"
"LS","OTU_1010","OTU_1656",1,-1,"Negative"
"LS","OTU_1010","OTU_1674",1,1,"Positive"
"LS","OTU_1010","OTU_1685",1,1,"Positive"
"LS","OTU_1010","OTU_1696",1,1,"Positive"
"LS","OTU_1010","OTU_1699",1,1,"Positive"
"LS","OTU_1010","OTU_171",1,1,"Positive"
"LS","OTU_1010","OTU_184",1,1,"Positive"
"LS","OTU_1010","OTU_187",1,1,"Positive"
"LS","OTU_1010","OTU_25",1,1,"Positive"
"LS","OTU_1010","OTU_315",1,-1,"Negative"
"LS","OTU_1010","OTU_370",1,1,"Positive"
"LS","OTU_1010","OTU_424",1,1,"Positive"
"LS","OTU_1010","OTU_44",1,1,"Positive"
"LS","OTU_1010","OTU_444",1,1,"Positive"
"LS","OTU_1010","OTU_45",1,1,"Positive"
"LS","OTU_1010","OTU_518",1,1,"Positive"
"LS","OTU_1010","OTU_708",1,1,"Positive"
"LS","OTU_1059","OTU_1232",1,1,"Positive"
"LS","OTU_1059","OTU_1247",1,1,"Positive"
"LS","OTU_1059","OTU_1418",1,1,"Positive"
"LS","OTU_1059","OTU_1467",1,1,"Positive"
"LS","OTU_1059","OTU_1471",1,1,"Positive"
"LS","OTU_1059","OTU_1472",1,1,"Positive"
"LS","OTU_1059","OTU_1473",1,1,"Positive"
"LS","OTU_1059","OTU_1577",1,1,"Positive"
"LS","OTU_1059","OTU_1604",1,1,"Positive"
"LS","OTU_1059","OTU_1611",1,1,"Positive"
"LS","OTU_1059","OTU_164",1,1,"Positive"
"LS","OTU_1059","OTU_1651",1,1,"Positive"
"LS","OTU_1059","OTU_1661",1,1,"Positive"
"LS","OTU_1059","OTU_354",1,1,"Positive"
"LS","OTU_1059","OTU_47",1,1,"Positive"
"LS","OTU_1059","OTU_555",1,1,"Positive"
"LS","OTU_1070","OTU_1087",1,1,"Positive"
"LS","OTU_1070","OTU_1218",1,1,"Positive"
"LS","OTU_1070","OTU_1225",1,1,"Positive"
"LS","OTU_1070","OTU_1236",1,1,"Positive"
"LS","OTU_1070","OTU_1252",1,1,"Positive"
"LS","OTU_1070","OTU_1267",1,1,"Positive"
"LS","OTU_1070","OTU_1279",1,1,"Positive"
"LS","OTU_1070","OTU_1314",1,1,"Positive"
"LS","OTU_1070","OTU_1336",1,1,"Positive"
"LS","OTU_1070","OTU_136",1,1,"Positive"
"LS","OTU_1070","OTU_1436",1,1,"Positive"
"LS","OTU_1070","OTU_1448",1,1,"Positive"
"LS","OTU_1070","OTU_1461",1,1,"Positive"
"LS","OTU_1070","OTU_1464",1,1,"Positive"
"LS","OTU_1070","OTU_1465",1,1,"Positive"
"LS","OTU_1070","OTU_1501",1,1,"Positive"
"LS","OTU_1070","OTU_1506",1,1,"Positive"
"LS","OTU_1070","OTU_1528",1,1,"Positive"
"LS","OTU_1070","OTU_1593",1,1,"Positive"
"LS","OTU_1070","OTU_1670",1,1,"Positive"
"LS","OTU_1070","OTU_1679",1,1,"Positive"
"LS","OTU_1070","OTU_1690",1,1,"Positive"
"LS","OTU_1070","OTU_215",1,1,"Positive"
"LS","OTU_1070","OTU_226",1,1,"Positive"
"LS","OTU_1070","OTU_242",1,1,"Positive"
"LS","OTU_1070","OTU_356",1,1,"Positive"
"LS","OTU_1070","OTU_371",1,1,"Positive"
"LS","OTU_1070","OTU_395",1,1,"Positive"
"LS","OTU_1070","OTU_500",1,1,"Positive"
"LS","OTU_1070","OTU_528",1,1,"Positive"
"LS","OTU_1070","OTU_569",1,1,"Positive"
"LS","OTU_1070","OTU_579",1,1,"Positive"
"LS","OTU_1070","OTU_91",1,1,"Positive"
"LS","OTU_1070","OTU_929",1,1,"Positive"
