Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Alphaproteobacteria,53.0,270.0,312.0,153.0,325.0,267.0
Bdellovibrionia,0.0,0.0,0.0,0.0,10.0,0.0
Binatia,38.0,74.0,56.0,65.0,47.0,65.0
Gammaproteobacteria,202.0,406.0,386.0,288.0,537.0,290.0
Halobacteria,58.0,102.0,90.0,88.0,72.0,82.0
JADFVX01,0.0,0.0,17.0,0.0,27.0,10.0
Magnetococcia,0.0,14.0,0.0,0.0,0.0,0.0
Polarisedimenticolia,0.0,11.0,0.0,0.0,0.0,0.0
Polyangia,0.0,32.0,26.0,30.0,39.0,33.0
Thermodesulfovibrionia,0.0,0.0,0.0,0.0,26.0,0.0
UBA2968,0.0,11.0,12.0,0.0,16.0,0.0
UBA796,0.0,10.0,11.0,0.0,30.0,17.0
UBA9160,0.0,53.0,19.0,19.0,22.0,34.0
Verrucomicrobiae,20.0,64.0,68.0,28.0,53.0,65.0
Vicinamibacteria,24.0,49.0,46.0,31.0,33.0,24.0
unclassified,8.0,35.0,42.0,32.0,38.0,54.0
