Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Alteromonadaceae,0.0,23.0,0.0,0.0,13.0,12.0
Binataceae,38.0,70.0,52.0,58.0,38.0,62.0
Burkholderiaceae,35.0,52.0,29.0,50.0,31.0,30.0
CAJQPC01,0.0,0.0,0.0,0.0,11.0,0.0
DAOVJZ01,0.0,0.0,0.0,0.0,13.0,0.0
DEV007,0.0,12.0,12.0,0.0,0.0,11.0
DSM-19610,0.0,15.0,0.0,0.0,19.0,10.0
GCA-001735895,0.0,41.0,62.0,0.0,66.0,29.0
GCA-002770795,0.0,0.0,10.0,14.0,0.0,0.0
GCA-2729495,0.0,0.0,11.0,0.0,0.0,0.0
GCA-2731375,0.0,0.0,0.0,0.0,10.0,0.0
Ga0077536,0.0,0.0,0.0,10.0,0.0,0.0
HK1,0.0,0.0,0.0,0.0,17.0,0.0
Halieaceae,0.0,23.0,25.0,0.0,16.0,19.0
Haloarculaceae,16.0,42.0,34.0,50.0,38.0,42.0
Haloferacaceae,20.0,0.0,22.0,12.0,12.0,10.0
Halomonadaceae,0.0,0.0,0.0,0.0,0.0,11.0
Hyphomicrobiaceae,12.0,19.0,27.0,11.0,15.0,10.0
J045,0.0,11.0,0.0,0.0,0.0,0.0
J093,0.0,12.0,10.0,0.0,16.0,12.0
JACTMU01,0.0,0.0,0.0,0.0,10.0,0.0
JADFVX01,0.0,0.0,17.0,0.0,27.0,10.0
JAHELT01,0.0,0.0,14.0,0.0,28.0,0.0
JAHENH01,0.0,16.0,24.0,0.0,0.0,10.0
JAKSDN01,0.0,0.0,0.0,0.0,10.0,0.0
Methyloligellaceae,0.0,0.0,18.0,13.0,0.0,20.0
Natrialbaceae,14.0,26.0,0.0,14.0,0.0,10.0
Oleiphilaceae,0.0,15.0,0.0,0.0,12.0,0.0
Palsa-1104,0.0,16.0,0.0,18.0,14.0,0.0
Polyangiaceae,0.0,0.0,0.0,0.0,0.0,10.0
Pseudomonadaceae,0.0,12.0,12.0,0.0,0.0,0.0
Rhizobiaceae,0.0,19.0,16.0,22.0,41.0,30.0
Rhodobacteraceae,16.0,101.0,123.0,52.0,83.0,103.0
Rhodocyclaceae,23.0,14.0,17.0,29.0,10.0,23.0
S012-40,0.0,0.0,0.0,0.0,24.0,0.0
SMWR01,0.0,23.0,10.0,0.0,0.0,14.0
SMYC01,0.0,0.0,0.0,10.0,0.0,0.0
SZUA-229,0.0,22.0,38.0,0.0,31.0,13.0
Sedimenticolaceae,0.0,15.0,13.0,11.0,34.0,0.0
Stappiaceae,0.0,20.0,14.0,0.0,19.0,13.0
Steroidobacteraceae,10.0,14.0,10.0,0.0,0.0,0.0
Thiobacillaceae,38.0,0.0,0.0,20.0,0.0,0.0
UBA11358,0.0,16.0,14.0,10.0,10.0,0.0
UBA2385,0.0,0.0,0.0,0.0,12.0,11.0
UBA2999,18.0,42.0,40.0,10.0,22.0,18.0
UBA3939,0.0,16.0,12.0,0.0,0.0,18.0
UBA4427,0.0,20.0,0.0,0.0,11.0,13.0
UBA4486,0.0,11.0,0.0,0.0,0.0,15.0
UBA6429,0.0,0.0,0.0,10.0,38.0,0.0
UBA8231,0.0,11.0,12.0,0.0,16.0,0.0
UBA828,0.0,0.0,0.0,0.0,19.0,0.0
UBA8363,0.0,14.0,0.0,0.0,0.0,0.0
UBA9214,0.0,17.0,24.0,0.0,17.0,10.0
unclassified,163.0,351.0,363.0,310.0,472.0,342.0
