Taxon,PA1,PS4,PS5,PS6,PS7,PS9
12-FULL-67-14b,0.0,22.0,18.0,0.0,12.0,0.0
21-14-all-40-8,0.0,0.0,10.0,14.0,0.0,0.0
Burkholderia,0.0,0.0,0.0,12.0,0.0,0.0
CAIKLQ01,0.0,16.0,12.0,0.0,0.0,0.0
Cognaticolwellia,0.0,12.0,0.0,0.0,10.0,0.0
DAOVJZ01,0.0,0.0,0.0,0.0,13.0,0.0
DSVZ01,0.0,12.0,10.0,0.0,16.0,12.0
GCA-001735895,0.0,41.0,62.0,0.0,66.0,29.0
GCA-2729515,0.0,14.0,0.0,0.0,0.0,12.0
GCA-2746365,0.0,0.0,13.0,0.0,14.0,0.0
Gp6-AA45,10.0,0.0,0.0,0.0,0.0,0.0
Halioglobus,0.0,19.0,24.0,0.0,16.0,19.0
Haloarcula,0.0,0.0,0.0,0.0,0.0,10.0
Halogeometricum_borinquense,16.0,0.0,10.0,0.0,0.0,0.0
Halomicrobium,0.0,34.0,32.0,48.0,34.0,30.0
Halorubrum,0.0,0.0,10.0,0.0,0.0,0.0
Hyphomicrobium_C,0.0,0.0,10.0,0.0,0.0,0.0
J054,0.0,0.0,10.0,0.0,0.0,0.0
JAABYT01,0.0,0.0,0.0,0.0,17.0,0.0
JAADHD01,0.0,12.0,12.0,0.0,0.0,11.0
JAAESX01,0.0,0.0,0.0,0.0,11.0,0.0
JACTMU01,0.0,0.0,0.0,0.0,10.0,0.0
JADZED01,0.0,12.0,16.0,0.0,0.0,0.0
JAFAHS01,38.0,70.0,52.0,58.0,38.0,62.0
JAGLTQ01,0.0,0.0,0.0,0.0,10.0,0.0
JAHEDB01,0.0,0.0,0.0,0.0,12.0,0.0
JAHEGF01,0.0,0.0,0.0,0.0,0.0,12.0
JAHELT01,0.0,0.0,14.0,0.0,28.0,0.0
JAHENH01,0.0,16.0,24.0,0.0,0.0,10.0
JAKITT01,0.0,0.0,0.0,0.0,11.0,0.0
JALUUK01,0.0,11.0,0.0,0.0,0.0,0.0
JAOUBX01,0.0,0.0,17.0,0.0,27.0,10.0
JAOUJM01,0.0,0.0,0.0,0.0,24.0,0.0
JAUVDT01,0.0,0.0,11.0,0.0,0.0,0.0
LH-M37,0.0,0.0,0.0,0.0,10.0,0.0
Natrononativus,0.0,10.0,0.0,0.0,0.0,0.0
PALSA-1104,0.0,16.0,0.0,18.0,14.0,0.0
Roseovarius,0.0,10.0,10.0,0.0,0.0,19.0
Ruegeria,0.0,18.0,10.0,0.0,10.0,0.0
SZUA-186,0.0,0.0,18.0,0.0,13.0,0.0
Shimia,0.0,0.0,12.0,12.0,0.0,0.0
Thiobacillus,27.0,0.0,0.0,20.0,0.0,0.0
Thiogranum,0.0,15.0,0.0,0.0,19.0,10.0
UBA2385,0.0,0.0,0.0,0.0,12.0,11.0
UBA2767,0.0,0.0,0.0,0.0,0.0,11.0
UBA3939,0.0,16.0,12.0,0.0,0.0,18.0
UBA6918,11.0,0.0,0.0,0.0,0.0,0.0
UBA8231,0.0,0.0,0.0,0.0,10.0,0.0
UBA8363,0.0,14.0,0.0,0.0,0.0,0.0
UBA9214,0.0,13.0,0.0,0.0,0.0,0.0
WFXD01,0.0,10.0,0.0,10.0,23.0,0.0
WTGU01,0.0,0.0,0.0,0.0,13.0,0.0
unclassified,301.0,718.0,656.0,542.0,782.0,655.0
