Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Alphaproteobacteria,22663.51943076,49118.05798114,61090.22556391,33468.08063839,58632.08636416,54987.14907078
Bdellovibrionia,0.0,0.0,0.0,0.0,1804.06419582,0.0
Binatia,16249.31581828,13461.9862615,10964.9122807,14218.46563069,8479.10172036,13386.38460525
Gammaproteobacteria,86377.94198139,73859.00570497,75579.57393484,62998.7400252,96878.24731555,59723.86977725
Halobacteria,24801.58730159,18555.71079287,17622.18045113,19249.6150077,12989.26220991,16887.43904046
JADFVX01,0.0,0.0,3328.63408521,0.0,4870.97332871,2059.44378542
Magnetococcia,0.0,2546.86226569,0.0,0.0,0.0,0.0
Polarisedimenticolia,0.0,2001.1060659,0.0,0.0,0.0,0.0
Polyangia,0.0,5821.39946443,5090.85213033,6562.36875262,7035.8503637,6796.16449189
Thermodesulfovibrionia,0.0,0.0,0.0,0.0,4690.56690913,0.0
UBA2968,0.0,2001.1060659,2349.62406015,0.0,2886.50271331,0.0
UBA796,0.0,1819.18733263,2153.82205514,0.0,5412.19258746,3501.05443522
UBA9160,0.0,9641.69286296,3720.23809524,4156.16687666,3968.9412308,7002.10887044
Verrucomicrobiae,8552.27148331,11642.79892886,13314.53634085,6124.87750245,9561.54023785,13386.38460525
Vicinamibacteria,10262.72577997,8914.01792991,9006.89223058,6781.11437771,5953.41184621,4942.66508501
unclassified,3420.90859332,6367.15566422,8223.68421053,6999.8600028,6855.44394412,11120.99644128
