Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Alteromonadaceae,0.0,4184.13086506,0.0,0.0,2345.28345457,2471.33254251
Binataceae,16249.31581828,12734.31132844,10181.70426065,12687.24625507,6855.44394412,12768.55146962
Burkholderiaceae,14966.47509579,9459.7741297,5678.25814536,10937.28125437,5592.59900704,6178.33135627
CAJQPC01,0.0,0.0,0.0,0.0,1984.4706154,0.0
DAOVJZ01,0.0,0.0,0.0,0.0,2345.28345457,0.0
DEV007,0.0,2183.02479916,2349.62406015,0.0,0.0,2265.38816396
DSM-19610,0.0,2728.78099895,0.0,0.0,3427.72197206,2059.44378542
GCA-001735895,0.0,7458.6680638,12139.72431078,0.0,11906.82369241,5972.38697773
GCA-002770795,0.0,0.0,1958.02005013,3062.43875122,0.0,0.0
GCA-2729495,0.0,0.0,2153.82205514,0.0,0.0,0.0
GCA-2731375,0.0,0.0,0.0,0.0,1804.06419582,0.0
Ga0077536,0.0,0.0,0.0,2187.45625087,0.0,0.0
HK1,0.0,0.0,0.0,0.0,3066.90913289,0.0
Halieaceae,0.0,4184.13086506,4895.05012531,0.0,2886.50271331,3912.9431923
Haloarculaceae,6841.81718664,7640.58679707,6657.26817043,10937.28125437,6855.44394412,8649.66389877
Haloferacaceae,8552.27148331,0.0,4307.64411028,2624.94750105,2164.87703498,2059.44378542
Halomonadaceae,0.0,0.0,0.0,0.0,0.0,2265.38816396
Hyphomicrobiaceae,5131.36288998,3456.45593201,5286.65413534,2406.20187596,2706.09629373,2059.44378542
J045,0.0,2001.1060659,0.0,0.0,0.0,0.0
J093,0.0,2183.02479916,1958.02005013,0.0,2886.50271331,2471.33254251
JACTMU01,0.0,0.0,0.0,0.0,1804.06419582,0.0
JADFVX01,0.0,0.0,3328.63408521,0.0,4870.97332871,2059.44378542
JAHELT01,0.0,0.0,2741.22807018,0.0,5051.3797483,0.0
JAHENH01,0.0,2910.69973222,4699.2481203,0.0,0.0,2059.44378542
JAKSDN01,0.0,0.0,0.0,0.0,1804.06419582,0.0
Methyloligellaceae,0.0,0.0,3524.43609023,2843.69312614,0.0,4118.88757084
Natrialbaceae,5986.59003831,4729.88706485,0.0,3062.43875122,0.0,2059.44378542
Oleiphilaceae,0.0,2728.78099895,0.0,0.0,2164.87703498,0.0
Palsa-1104,0.0,2910.69973222,0.0,3937.42125157,2525.68987415,0.0
Polyangiaceae,0.0,0.0,0.0,0.0,0.0,2059.44378542
Pseudomonadaceae,0.0,2183.02479916,2349.62406015,0.0,0.0,0.0
Rhizobiaceae,0.0,3456.45593201,3132.8320802,4812.40375192,7396.66320286,6178.33135627
Rhodobacteraceae,6841.81718664,18373.79205961,24083.64661654,11374.77250455,14973.73282531,21212.27098985
Rhodocyclaceae,9835.1122058,2546.86226569,3328.63408521,6343.62312754,1804.06419582,4736.72070647
S012-40,0.0,0.0,0.0,0.0,4329.75406997,0.0
SMWR01,0.0,4184.13086506,1958.02005013,0.0,0.0,2883.22129959
SMYC01,0.0,0.0,0.0,2187.45625087,0.0,0.0
SZUA-229,0.0,4002.2121318,7440.47619048,0.0,5592.59900704,2677.27692105
Sedimenticolaceae,0.0,2728.78099895,2545.42606516,2406.20187596,6133.81826579,0.0
Stappiaceae,0.0,3638.37466527,2741.22807018,0.0,3427.72197206,2677.27692105
Steroidobacteraceae,4276.13574165,2546.86226569,1958.02005013,0.0,0.0,0.0
Thiobacillaceae,16249.31581828,0.0,0.0,4374.91250175,0.0,0.0
UBA11358,0.0,2910.69973222,2741.22807018,2187.45625087,1804.06419582,0.0
UBA2385,0.0,0.0,0.0,0.0,2164.87703498,2265.38816396
UBA2999,7697.04433498,7640.58679707,7832.0802005,2187.45625087,3968.9412308,3706.99881376
UBA3939,0.0,2910.69973222,2349.62406015,0.0,0.0,3706.99881376
UBA4427,0.0,3638.37466527,0.0,0.0,1984.4706154,2677.27692105
UBA4486,0.0,2001.1060659,0.0,0.0,0.0,3089.16567813
UBA6429,0.0,0.0,0.0,2187.45625087,6855.44394412,0.0
UBA8231,0.0,2001.1060659,2349.62406015,0.0,2886.50271331,0.0
UBA828,0.0,0.0,0.0,0.0,3427.72197206,0.0
UBA8363,0.0,2546.86226569,0.0,0.0,0.0,0.0
UBA9214,0.0,3092.61846548,4699.2481203,0.0,3066.90913289,2059.44378542
unclassified,69701.01258894,63853.47537548,71076.12781955,67811.14377712,85151.83004272,70432.97746145
