Taxon,PA1,PS4,PS5,PS6,PS7,PS9
12-FULL-67-14b,0.0,4002.2121318,3524.43609023,0.0,2164.87703498,0.0
21-14-all-40-8,0.0,0.0,1958.02005013,3062.43875122,0.0,0.0
Burkholderia,0.0,0.0,0.0,2624.94750105,0.0,0.0
CAIKLQ01,0.0,2910.69973222,2349.62406015,0.0,0.0,0.0
Cognaticolwellia,0.0,2183.02479916,0.0,0.0,1804.06419582,0.0
DAOVJZ01,0.0,0.0,0.0,0.0,2345.28345457,0.0
DSVZ01,0.0,2183.02479916,1958.02005013,0.0,2886.50271331,2471.33254251
GCA-001735895,0.0,7458.6680638,12139.72431078,0.0,11906.82369241,5972.38697773
GCA-2729515,0.0,2546.86226569,0.0,0.0,0.0,2471.33254251
GCA-2746365,0.0,0.0,2545.42606516,0.0,2525.68987415,0.0
Gp6-AA45,4276.13574165,0.0,0.0,0.0,0.0,0.0
Halioglobus,0.0,3456.45593201,4699.2481203,0.0,2886.50271331,3912.9431923
Haloarcula,0.0,0.0,0.0,0.0,0.0,2059.44378542
Halogeometricum_borinquense,6841.81718664,0.0,1958.02005013,0.0,0.0,0.0
Halomicrobium,0.0,6185.23693096,6265.6641604,10499.7900042,6133.81826579,6178.33135627
Halorubrum,0.0,0.0,1958.02005013,0.0,0.0,0.0
Hyphomicrobium_C,0.0,0.0,1958.02005013,0.0,0.0,0.0
J054,0.0,0.0,1958.02005013,0.0,0.0,0.0
JAABYT01,0.0,0.0,0.0,0.0,3066.90913289,0.0
JAADHD01,0.0,2183.02479916,2349.62406015,0.0,0.0,2265.38816396
JAAESX01,0.0,0.0,0.0,0.0,1984.4706154,0.0
JACTMU01,0.0,0.0,0.0,0.0,1804.06419582,0.0
JADZED01,0.0,2183.02479916,3132.8320802,0.0,0.0,0.0
JAFAHS01,16249.31581828,12734.31132844,10181.70426065,12687.24625507,6855.44394412,12768.55146962
JAGLTQ01,0.0,0.0,0.0,0.0,1804.06419582,0.0
JAHEDB01,0.0,0.0,0.0,0.0,2164.87703498,0.0
JAHEGF01,0.0,0.0,0.0,0.0,0.0,2471.33254251
JAHELT01,0.0,0.0,2741.22807018,0.0,5051.3797483,0.0
JAHENH01,0.0,2910.69973222,4699.2481203,0.0,0.0,2059.44378542
JAKITT01,0.0,0.0,0.0,0.0,1984.4706154,0.0
JALUUK01,0.0,2001.1060659,0.0,0.0,0.0,0.0
JAOUBX01,0.0,0.0,3328.63408521,0.0,4870.97332871,2059.44378542
JAOUJM01,0.0,0.0,0.0,0.0,4329.75406997,0.0
JAUVDT01,0.0,0.0,2153.82205514,0.0,0.0,0.0
LH-M37,0.0,0.0,0.0,0.0,1804.06419582,0.0
Natrononativus,0.0,1819.18733263,0.0,0.0,0.0,0.0
PALSA-1104,0.0,2910.69973222,0.0,3937.42125157,2525.68987415,0.0
Roseovarius,0.0,1819.18733263,1958.02005013,0.0,0.0,3912.9431923
Ruegeria,0.0,3274.53719874,1958.02005013,0.0,1804.06419582,0.0
SZUA-186,0.0,0.0,3524.43609023,0.0,2345.28345457,0.0
Shimia,0.0,0.0,2349.62406015,2624.94750105,0.0,0.0
Thiobacillus,11545.56650246,0.0,0.0,4374.91250175,0.0,0.0
Thiogranum,0.0,2728.78099895,0.0,0.0,3427.72197206,2059.44378542
UBA2385,0.0,0.0,0.0,0.0,2164.87703498,2265.38816396
UBA2767,0.0,0.0,0.0,0.0,0.0,2265.38816396
UBA3939,0.0,2910.69973222,2349.62406015,0.0,0.0,3706.99881376
UBA6918,4703.74931582,0.0,0.0,0.0,0.0,0.0
UBA8231,0.0,0.0,0.0,0.0,1804.06419582,0.0
UBA8363,0.0,2546.86226569,0.0,0.0,0.0,0.0
UBA9214,0.0,2364.94353243,0.0,0.0,0.0,0.0
WFXD01,0.0,1819.18733263,0.0,2187.45625087,4149.34765039,0.0
WTGU01,0.0,0.0,0.0,0.0,2345.28345457,0.0
unclassified,128711.68582375,130617.65048318,128446.11528822,118560.12879742,141077.82011315,134893.56794517
