Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Bdellovibrionales,0.0,0.0,0.0,0.0,1804.06419582,0.0
Binatales,16249.31581828,12734.31132844,10181.70426065,12687.24625507,6855.44394412,12768.55146962
Burkholderiales,51313.62889984,13280.06752823,10964.9122807,26468.22063559,10824.38517492,12150.71833399
Chromatiales,0.0,2728.78099895,2545.42606516,2406.20187596,6133.81826579,0.0
DAOVJZ01,0.0,0.0,0.0,0.0,2345.28345457,0.0
DSM-19610,0.0,2728.78099895,0.0,0.0,3427.72197206,2059.44378542
Enterobacterales,5986.59003831,8368.26173012,5286.65413534,5687.38625227,6855.44394412,5766.44259918
GCA-001735895,0.0,7458.6680638,12139.72431078,0.0,11906.82369241,5972.38697773
GCA-2729495,0.0,0.0,2153.82205514,0.0,0.0,0.0
GCA-2731375,0.0,0.0,0.0,0.0,1804.06419582,0.0
Ga0077536,0.0,0.0,0.0,2187.45625087,0.0,0.0
HK1,0.0,0.0,0.0,0.0,3066.90913289,0.0
Halobacteriales,21380.67870826,15645.01106066,12922.93233083,17937.14125717,11546.01085325,14827.99525504
Halorutilales,0.0,2910.69973222,4699.2481203,0.0,0.0,2059.44378542
J045,0.0,2001.1060659,0.0,0.0,0.0,0.0
JADFVX01,0.0,0.0,3328.63408521,0.0,4870.97332871,2059.44378542
JAHELT01,0.0,0.0,2741.22807018,0.0,5051.3797483,0.0
Kiloniellales,0.0,2910.69973222,5090.85213033,0.0,5592.59900704,0.0
Limisphaerales,5558.97646415,5457.5619979,6657.26817043,4374.91250175,5412.19258746,4530.77632793
Magnetococcales,0.0,2546.86226569,0.0,0.0,0.0,0.0
Marinacidobacterales,0.0,0.0,0.0,2187.45625087,0.0,0.0
Palsa-1104,0.0,2910.69973222,0.0,3937.42125157,2525.68987415,0.0
Pedosphaerales,0.0,3274.53719874,3132.8320802,0.0,2525.68987415,4942.66508501
Polyangiales,0.0,2364.94353243,2349.62406015,0.0,3066.90913289,3089.16567813
Pseudomonadales,5558.97646415,11824.71766213,13314.53634085,6124.87750245,10283.16591618,11532.88519837
Rhizobiales,13683.63437329,20920.6543253,20167.60651629,18812.12375752,21107.5510911,23683.60353236
Rhodobacterales,6841.81718664,18737.62952614,24671.05263158,11374.77250455,14973.73282531,22036.04850402
Rhodospirillales,0.0,0.0,0.0,0.0,1804.06419582,0.0
S012-40,0.0,0.0,0.0,0.0,4329.75406997,0.0
SZUA-229,0.0,4002.2121318,7440.47619048,0.0,5592.59900704,2677.27692105
Steroidobacterales,4276.13574165,2546.86226569,1958.02005013,0.0,0.0,0.0
Thermodesulfovibrionales,0.0,0.0,0.0,0.0,3066.90913289,0.0
UBA4486,0.0,2001.1060659,0.0,0.0,0.0,3089.16567813
UBA6429,0.0,0.0,0.0,2187.45625087,6855.44394412,0.0
UBA796,0.0,0.0,0.0,0.0,4149.34765039,2883.22129959
UBA8231,0.0,2001.1060659,2349.62406015,0.0,2886.50271331,0.0
UBA828,0.0,0.0,0.0,0.0,3427.72197206,0.0
UBA9160,0.0,9641.69286296,3720.23809524,4156.16687666,3968.9412308,7002.10887044
UBA9214,0.0,3092.61846548,4699.2481203,0.0,3066.90913289,2059.44378542
Verrucomicrobiales,0.0,2910.69973222,3524.43609023,0.0,0.0,3912.9431923
Vicinamibacterales,8552.27148331,8004.42426359,8223.68421053,4593.65812684,4329.75406997,4118.88757084
Xanthomonadales,0.0,2183.02479916,0.0,2843.69312614,3427.72197206,2059.44378542
unclassified,32926.24521073,30562.34718826,38181.39097744,32593.09813804,41132.6636647,38511.5987874
