Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Acidobacteriota,11117.9529283,11824.71766213,11160.71428571,7218.60562789,7216.25678328,7002.10887044
Bdellovibrionota,0.0,0.0,0.0,0.0,1804.06419582,0.0
Desulfobacterota,0.0,0.0,3524.43609023,0.0,5051.3797483,2059.44378542
Desulfobacterota_B,16249.31581828,13461.9862615,10964.9122807,14218.46563069,8479.10172036,13386.38460525
Halobacteriota,12828.40722496,16008.84852719,14489.34837093,17937.14125717,11185.19801409,13592.32898379
Latescibacterota,0.0,2001.1060659,2349.62406015,0.0,2886.50271331,0.0
Methanobacteriota,10262.72577997,1819.18733263,3132.8320802,0.0,0.0,2883.22129959
Myxococcota,0.0,8732.09919665,10769.11027569,9187.31625367,15334.54566447,12150.71833399
Myxococcota_A,0.0,9641.69286296,3720.23809524,4156.16687666,3968.9412308,7002.10887044
Nitrospirota,0.0,0.0,0.0,0.0,4690.56690913,0.0
Proteobacteria,10262.72577997,7094.83059728,5874.06015038,3062.43875122,6494.63110495,4324.83194939
Pseudomonadota,98778.73563218,118429.09535452,130795.73934837,93404.38191236,149015.70257476,111209.96441281
Verrucomicrobiota,8552.27148331,11642.79892886,13314.53634085,6124.87750245,9561.54023785,13386.38460525
unclassified,4276.13574165,5093.72453138,2349.62406015,5249.8950021,4329.75406997,6796.16449189
