Taxon,PA1,PS4,PS5,PS6,PS7,PS9
GCA-001735895_sp003645435_nosZI,0.0,2001.1060659,0.0,0.0,2525.68987415,0.0
GCA-001735895_sp020354435_nosZI,0.0,2728.78099895,5286.65413534,0.0,4690.56690913,0.0
GCA-001735895_sp024229615_nosZI,0.0,0.0,0.0,0.0,1804.06419582,0.0
Halioglobus_sp009937575_nosZI,0.0,2183.02479916,2153.82205514,0.0,0.0,0.0
JAABYT01_sp009937425_nosZI,0.0,0.0,0.0,0.0,2706.09629373,0.0
JAAESX01_sp024228935_nosZI,0.0,0.0,0.0,0.0,1804.06419582,0.0
JAHEDB01_sp024641465_nosZI,0.0,0.0,0.0,0.0,2164.87703498,0.0
JAHEGF01_sp024645155_nosZI,0.0,0.0,0.0,0.0,0.0,2471.33254251
JAHELT01_sp029861595_nosZI,0.0,0.0,2349.62406015,0.0,4690.56690913,0.0
JAKITT01_sp027068675_nosZI,0.0,0.0,0.0,0.0,1804.06419582,0.0
JALUUK01_sp027021395_nosZI,0.0,1819.18733263,0.0,0.0,0.0,0.0
JAOUBX01_sp029860075_nosZI,0.0,0.0,2545.42606516,0.0,4690.56690913,2059.44378542
JAOUJM01_sp029883265_nosZI,0.0,0.0,0.0,0.0,3247.31555248,0.0
SZUA-186_sp020344335_nosZI,0.0,0.0,3524.43609023,0.0,2345.28345457,0.0
UBA9214_sp029881775_nosZI,0.0,1819.18733263,0.0,0.0,0.0,0.0
Unclassified_Species_nosZI,9407.49863164,3456.45593201,3524.43609023,0.0,4329.75406997,3501.05443522
unclassified,162920.77175698,191742.3448597,193060.77694236,160559.28881422,193215.27537236,185761.8294451
