Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Bdellovibrionales,0.0,0.0,0.0,0.0,10.0,0.0
Binatales,38.0,70.0,52.0,58.0,38.0,62.0
Burkholderiales,120.0,73.0,56.0,121.0,60.0,59.0
Chromatiales,0.0,15.0,13.0,11.0,34.0,0.0
DAOVJZ01,0.0,0.0,0.0,0.0,13.0,0.0
DSM-19610,0.0,15.0,0.0,0.0,19.0,10.0
Enterobacterales,14.0,46.0,27.0,26.0,38.0,28.0
GCA-001735895,0.0,41.0,62.0,0.0,66.0,29.0
GCA-2729495,0.0,0.0,11.0,0.0,0.0,0.0
GCA-2731375,0.0,0.0,0.0,0.0,10.0,0.0
Ga0077536,0.0,0.0,0.0,10.0,0.0,0.0
HK1,0.0,0.0,0.0,0.0,17.0,0.0
Halobacteriales,50.0,86.0,66.0,82.0,64.0,72.0
Halorutilales,0.0,16.0,24.0,0.0,0.0,10.0
J045,0.0,11.0,0.0,0.0,0.0,0.0
JADFVX01,0.0,0.0,17.0,0.0,27.0,10.0
JAHELT01,0.0,0.0,14.0,0.0,28.0,0.0
Kiloniellales,0.0,16.0,26.0,0.0,31.0,0.0
Limisphaerales,13.0,30.0,34.0,20.0,30.0,22.0
Magnetococcales,0.0,14.0,0.0,0.0,0.0,0.0
Marinacidobacterales,0.0,0.0,0.0,10.0,0.0,0.0
Palsa-1104,0.0,16.0,0.0,18.0,14.0,0.0
Pedosphaerales,0.0,18.0,16.0,0.0,14.0,24.0
Polyangiales,0.0,13.0,12.0,0.0,17.0,15.0
Pseudomonadales,13.0,65.0,68.0,28.0,57.0,56.0
Rhizobiales,32.0,115.0,103.0,86.0,117.0,115.0
Rhodobacterales,16.0,103.0,126.0,52.0,83.0,107.0
Rhodospirillales,0.0,0.0,0.0,0.0,10.0,0.0
S012-40,0.0,0.0,0.0,0.0,24.0,0.0
SZUA-229,0.0,22.0,38.0,0.0,31.0,13.0
Steroidobacterales,10.0,14.0,10.0,0.0,0.0,0.0
Thermodesulfovibrionales,0.0,0.0,0.0,0.0,17.0,0.0
UBA4486,0.0,11.0,0.0,0.0,0.0,15.0
UBA6429,0.0,0.0,0.0,10.0,38.0,0.0
UBA796,0.0,0.0,0.0,0.0,23.0,14.0
UBA8231,0.0,11.0,12.0,0.0,16.0,0.0
UBA828,0.0,0.0,0.0,0.0,19.0,0.0
UBA9160,0.0,53.0,19.0,19.0,22.0,34.0
UBA9214,0.0,17.0,24.0,0.0,17.0,10.0
Verrucomicrobiales,0.0,16.0,18.0,0.0,0.0,19.0
Vicinamibacterales,20.0,44.0,42.0,21.0,24.0,20.0
Xanthomonadales,0.0,12.0,0.0,13.0,19.0,10.0
unclassified,77.0,168.0,195.0,149.0,228.0,187.0
