Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Acidobacteriota,26.0,65.0,57.0,33.0,40.0,34.0
Bdellovibrionota,0.0,0.0,0.0,0.0,10.0,0.0
Desulfobacterota,0.0,0.0,18.0,0.0,28.0,10.0
Desulfobacterota_B,38.0,74.0,56.0,65.0,47.0,65.0
Halobacteriota,30.0,88.0,74.0,82.0,62.0,66.0
Latescibacterota,0.0,11.0,12.0,0.0,16.0,0.0
Methanobacteriota,24.0,10.0,16.0,0.0,0.0,14.0
Myxococcota,0.0,48.0,55.0,42.0,85.0,59.0
Myxococcota_A,0.0,53.0,19.0,19.0,22.0,34.0
Nitrospirota,0.0,0.0,0.0,0.0,26.0,0.0
Proteobacteria,24.0,39.0,30.0,14.0,36.0,21.0
Pseudomonadota,231.0,651.0,668.0,427.0,826.0,540.0
Verrucomicrobiota,20.0,64.0,68.0,28.0,53.0,65.0
unclassified,10.0,28.0,12.0,24.0,24.0,33.0
