Taxon,PA1,PS4,PS5,PS6,PS7,PS9
GCA-001735895_sp003645435_nosZI,0.0,11.0,0.0,0.0,14.0,0.0
GCA-001735895_sp020354435_nosZI,0.0,15.0,27.0,0.0,26.0,0.0
GCA-001735895_sp024229615_nosZI,0.0,0.0,0.0,0.0,10.0,0.0
Halioglobus_sp009937575_nosZI,0.0,12.0,11.0,0.0,0.0,0.0
JAABYT01_sp009937425_nosZI,0.0,0.0,0.0,0.0,15.0,0.0
JAAESX01_sp024228935_nosZI,0.0,0.0,0.0,0.0,10.0,0.0
JAHEDB01_sp024641465_nosZI,0.0,0.0,0.0,0.0,12.0,0.0
JAHEGF01_sp024645155_nosZI,0.0,0.0,0.0,0.0,0.0,12.0
JAHELT01_sp029861595_nosZI,0.0,0.0,12.0,0.0,26.0,0.0
JAKITT01_sp027068675_nosZI,0.0,0.0,0.0,0.0,10.0,0.0
JALUUK01_sp027021395_nosZI,0.0,10.0,0.0,0.0,0.0,0.0
JAOUBX01_sp029860075_nosZI,0.0,0.0,13.0,0.0,26.0,10.0
JAOUJM01_sp029883265_nosZI,0.0,0.0,0.0,0.0,18.0,0.0
SZUA-186_sp020344335_nosZI,0.0,0.0,18.0,0.0,13.0,0.0
UBA9214_sp029881775_nosZI,0.0,10.0,0.0,0.0,0.0,0.0
Unclassified_Species_nosZI,22.0,19.0,18.0,0.0,24.0,17.0
unclassified,381.0,1054.0,986.0,734.0,1071.0,902.0
