richness	PA1	PS4	PS5	PS6	PS7	PS9
1	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0
3	1.000	0.0	0.0	0.0	0.0	0.0
4	2.00	0.0	0.0	0.0	0.0	0.0
5	4.00	0.0	1.000	1.000	0.0	0.0
6	8.00	0.0	1.000	1.000	0.0	0.0
7	9.00	2.00	1.000	3.00	0.0	1.000
8	12.0	5.00	1.000	3.00	5.00	0.0
9	16.0	4.00	4.00	3.00	6.00	7.00
10	18.0	7.00	5.00	10.00	4.00	7.00
11	22.0	10.00	8.00	8.00	7.00	8.00
12	23.0	10.00	10.00	11.0	12.0	11.0
13	23.0	13.0	15.0	11.0	12.0	15.0
14	30.0	18.0	14.0	20.0	16.0	18.0
15	27.0	18.0	17.0	18.0	18.0	16.0
16	27.0	18.0	25.0	23.0	23.0	21.0
17	29.0	23.0	28.0	25.0	29.0	23.0
18	31.0	18.0	27.0	22.0	28.0	24.0
19	33.0	24.0	32.0	28.0	34.0	28.0
20	33.0	25.0	35.0	31.0	33.0	34.0
21	32.0	29.0	33.0	33.0	37.0	34.0
22	33.0	32.0	36.0	42.0	39.0	39.0
23	41.0	35.0	40.0	41.0	40.0	40.0
24	37.0	35.0	44.0	46.0	43.0	45.0
25	41.0	44.0	40.0	44.0	46.0	47.0
26	39.0	46.0	52.0	52.0	46.0	50.0
27	41.0	48.0	52.0	56.0	54.0	55.0
28	40.0	48.0	50.0	50.0	56.0	59.0
29	46.0	57.0	56.0	55.0	59.0	56.0
30	45.0	53.0	58.0	56.0	58.0	56.0
31	46.0	62.0	60.0	61.0	67.0	57.0
32	44.0	55.0	57.0	61.0	63.0	62.0
33	49.0	64.0	58.0	65.0	63.0	66.0
34	50.0	62.0	62.0	66.0	70.0	72.0
35	48.0	63.0	64.0	68.0	74.0	66.0
36	50.0	63.0	68.0	66.0	71.0	70.0
37	52.0	67.0	67.0	67.0	70.0	74.0
38	52.0	74.0	66.0	74.0	74.0	77.0
39	53.0	72.0	71.0	75.0	76.0	73.0
40	52.0	74.0	75.0	76.0	76.0	80.0
41	56.0	74.0	76.0	81.0	79.0	80.0
42	55.0	82.0	77.0	76.0	85.0	87.0
43	54.0	87.0	79.0	89.0	83.0	86.0
44	52.0	87.0	81.0	81.0	83.0	94.0
45	57.0	88.0	89.0	85.0	82.0	84.0
46	61.0	90.0	84.0	83.0	93.0	87.0
47	58.0	88.0	87.0	86.0	98.0	94.0
48	58.0	89.0	105.0	88.0	93.0	93.0
49	60.0	98.0	97.0	89.0	95.0	95.0
50	57.0	96.0	98.0	94.0	102.0	94.0
51	61.0	103.0	107.0	94.0	105.0	96.0
52	65.0	103.0	104.0	100.0	104.0	96.0
53	57.0	106.0	104.0	93.0	97.0	99.0
54	63.0	111.0	109.0	101.0	108.0	104.0
55	65.0	106.0	113.0	100.0	106.0	110.0
56	60.0	110.0	110.0	98.0	110.0	109.0
57	61.0	115.0	115.0	106.0	110.0	105.0
58	62.0	113.0	115.0	105.0	110.0	108.0
59	64.0	119.0	109.0	108.0	112.0	115.0
60	66.0	116.0	115.0	107.0	115.0	117.0
61	66.0	120.0	117.0	112.0	108.0	116.0
62	64.0	124.0	117.0	110.0	113.0	117.0
63	66.0	123.0	123.0	109.0	113.0	112.0
64	68.0	122.0	123.0	109.0	119.0	113.0
65	68.0	126.0	119.0	116.0	115.0	121.0
66	67.0	125.0	125.0	113.0	121.0	115.0
67	66.0	120.0	124.0	114.0	121.0	122.0
68	68.0	128.0	122.0	114.0	119.0	119.0
69	69.0	125.0	126.0	116.0	123.0	124.0
70	69.0	129.0	126.0	114.0	121.0	123.0
71	67.0	130.0	123.0	116.0	121.0	123.0
72	69.0	127.0	128.0	117.0	123.0	124.0
73	67.0	128.0	129.0	116.0	121.0	123.0
74	69.0	128.0	128.0	117.0	124.0	124.0
75	68.0	131.0	128.0	117.0	122.0	124.0
76	69.0	131.0	125.0	119.0	123.0	125.0
77	69.0	131.0	130.0	117.0	125.0	124.0
78	68.0	131.0	129.0	118.0	123.0	126.0
79	68.0	132.0	130.0	117.0	124.0	124.0
80	69.0	130.0	130.0	119.0	124.0	126.0
81	68.0	132.0	129.0	119.0	124.0	125.0
82	69.0	129.0	130.0	118.0	125.0	125.0
83	69.0	131.0	129.0	119.0	125.0	126.0
84	69.0	130.0	129.0	116.0	125.0	126.0
85	68.0	132.0	129.0	118.0	123.0	126.0
86	69.0	132.0	128.0	118.0	125.0	126.0
87	69.0	131.0	130.0	118.0	124.0	126.0
88	69.0	132.0	130.0	119.0	125.0	126.0
89	69.0	132.0	130.0	119.0	125.0	126.0
90	69.0	132.0	129.0	119.0	125.0	126.0
91	69.0	132.0	130.0	119.0	125.0	126.0
92	69.0	132.0	130.0	119.0	125.0	126.0
93	68.0	132.0	130.0	119.0	125.0	125.0
94	69.0	132.0	130.0	119.0	125.0	126.0
95	69.0	132.0	130.0	119.0	125.0	126.0
96	69.0	132.0	130.0	119.0	125.0	126.0
97	69.0	132.0	130.0	118.0	125.0	126.0
98	69.0	132.0	130.0	119.0	125.0	126.0
99	69.0	132.0	130.0	119.0	124.0	126.0
100	69.0	132.0	130.0	119.0	124.0	126.0
