"Group","Source","Target","Weight","Correlation","Direction"
"LS","OTU_10","OTU_1023",1,1,"Positive"
"LS","OTU_10","OTU_1027",1,1,"Positive"
"LS","OTU_10","OTU_1863",1,1,"Positive"
"LS","OTU_10","OTU_199",1,1,"Positive"
"LS","OTU_10","OTU_217",1,1,"Positive"
"LS","OTU_10","OTU_2257",1,1,"Positive"
"LS","OTU_10","OTU_2313",1,1,"Positive"
"LS","OTU_10","OTU_2358",1,1,"Positive"
"LS","OTU_10","OTU_2359",1,1,"Positive"
"LS","OTU_10","OTU_2419",1,1,"Positive"
"LS","OTU_10","OTU_2502",1,1,"Positive"
"LS","OTU_10","OTU_678",1,1,"Positive"
"LS","OTU_10","OTU_863",1,1,"Positive"
"LS","OTU_1015","OTU_109",1,1,"Positive"
"LS","OTU_1015","OTU_1104",1,1,"Positive"
"LS","OTU_1015","OTU_111",1,-1,"Negative"
"LS","OTU_1015","OTU_1197",1,1,"Positive"
"LS","OTU_1015","OTU_124",1,1,"Positive"
"LS","OTU_1015","OTU_1263",1,1,"Positive"
"LS","OTU_1015","OTU_1282",1,-1,"Negative"
"LS","OTU_1015","OTU_1300",1,-1,"Negative"
"LS","OTU_1015","OTU_142",1,1,"Positive"
"LS","OTU_1015","OTU_1467",1,-1,"Negative"
"LS","OTU_1015","OTU_1490",1,-1,"Negative"
"LS","OTU_1015","OTU_1571",1,1,"Positive"
"LS","OTU_1015","OTU_1608",1,-1,"Negative"
"LS","OTU_1015","OTU_1710",1,-1,"Negative"
"LS","OTU_1015","OTU_179",1,1,"Positive"
"LS","OTU_1015","OTU_183",1,-1,"Negative"
"LS","OTU_1015","OTU_185",1,1,"Positive"
"LS","OTU_1015","OTU_191",1,1,"Positive"
"LS","OTU_1015","OTU_1936",1,1,"Positive"
"LS","OTU_1015","OTU_1951",1,1,"Positive"
"LS","OTU_1015","OTU_2040",1,-1,"Negative"
"LS","OTU_1015","OTU_2075",1,1,"Positive"
"LS","OTU_1015","OTU_2103",1,1,"Positive"
"LS","OTU_1015","OTU_2133",1,-1,"Negative"
"LS","OTU_1015","OTU_214",1,-1,"Negative"
"LS","OTU_1015","OTU_2172",1,-1,"Negative"
"LS","OTU_1015","OTU_2198",1,1,"Positive"
