"Group","Source","Target","Weight","Correlation","Direction"
"MS","OTU_10","OTU_1023",1,1,"Positive"
"MS","OTU_10","OTU_109",1,-1,"Negative"
"MS","OTU_10","OTU_1203",1,1,"Positive"
"MS","OTU_10","OTU_1282",1,-1,"Negative"
"MS","OTU_10","OTU_1318",1,1,"Positive"
"MS","OTU_10","OTU_1366",1,1,"Positive"
"MS","OTU_10","OTU_1492",1,1,"Positive"
"MS","OTU_10","OTU_1557",1,1,"Positive"
"MS","OTU_10","OTU_1571",1,-1,"Negative"
"MS","OTU_10","OTU_1608",1,1,"Positive"
"MS","OTU_10","OTU_163",1,-1,"Negative"
"MS","OTU_10","OTU_1669",1,1,"Positive"
"MS","OTU_10","OTU_1710",1,-1,"Negative"
"MS","OTU_10","OTU_1812",1,1,"Positive"
"MS","OTU_10","OTU_183",1,-1,"Negative"
"MS","OTU_10","OTU_1884",1,-1,"Negative"
"MS","OTU_10","OTU_2029",1,1,"Positive"
"MS","OTU_10","OTU_2075",1,-1,"Negative"
"MS","OTU_10","OTU_2133",1,-1,"Negative"
"MS","OTU_10","OTU_214",1,-1,"Negative"
"MS","OTU_10","OTU_2179",1,1,"Positive"
"MS","OTU_10","OTU_2180",1,1,"Positive"
"MS","OTU_10","OTU_2207",1,1,"Positive"
"MS","OTU_10","OTU_2216",1,-1,"Negative"
"MS","OTU_10","OTU_225",1,-1,"Negative"
"MS","OTU_10","OTU_2274",1,1,"Positive"
"MS","OTU_10","OTU_2291",1,-1,"Negative"
"MS","OTU_10","OTU_2294",1,-1,"Negative"
"MS","OTU_10","OTU_2416",1,1,"Positive"
"MS","OTU_10","OTU_242",1,-1,"Negative"
"MS","OTU_10","OTU_2435",1,1,"Positive"
"MS","OTU_10","OTU_2437",1,1,"Positive"
"MS","OTU_10","OTU_2515",1,1,"Positive"
"MS","OTU_10","OTU_2552",1,-1,"Negative"
"MS","OTU_10","OTU_262",1,-1,"Negative"
"MS","OTU_10","OTU_308",1,-1,"Negative"
"MS","OTU_10","OTU_371",1,1,"Positive"
"MS","OTU_10","OTU_448",1,-1,"Negative"
"MS","OTU_10","OTU_527",1,-1,"Negative"
"MS","OTU_10","OTU_568",1,1,"Positive"
"MS","OTU_10","OTU_572",1,-1,"Negative"
"MS","OTU_10","OTU_580",1,1,"Positive"
"MS","OTU_10","OTU_6",1,-1,"Negative"
"MS","OTU_10","OTU_820",1,-1,"Negative"
"MS","OTU_10","OTU_825",1,1,"Positive"
"MS","OTU_10","OTU_851",1,1,"Positive"
"MS","OTU_10","OTU_864",1,-1,"Negative"
"MS","OTU_10","OTU_959",1,-1,"Negative"
"MS","OTU_10","OTU_976",1,-1,"Negative"
"MS","OTU_10","OTU_977",1,-1,"Negative"
"MS","OTU_10","OTU_979",1,-1,"Negative"
"MS","OTU_10","OTU_98",1,1,"Positive"
"MS","OTU_1011","OTU_119",1,1,"Positive"
"MS","OTU_1011","OTU_1224",1,1,"Positive"
"MS","OTU_1011","OTU_1308",1,1,"Positive"
"MS","OTU_1011","OTU_142",1,1,"Positive"
"MS","OTU_1011","OTU_1421",1,1,"Positive"
"MS","OTU_1011","OTU_1629",1,1,"Positive"
"MS","OTU_1011","OTU_1687",1,1,"Positive"
"MS","OTU_1011","OTU_1703",1,1,"Positive"
"MS","OTU_1011","OTU_1757",1,1,"Positive"
"MS","OTU_1011","OTU_1832",1,1,"Positive"
"MS","OTU_1011","OTU_1925",1,1,"Positive"
"MS","OTU_1011","OTU_2081",1,1,"Positive"
"MS","OTU_1011","OTU_2093",1,1,"Positive"
"MS","OTU_1011","OTU_2104",1,1,"Positive"
"MS","OTU_1011","OTU_2106",1,1,"Positive"
"MS","OTU_1011","OTU_2122",1,1,"Positive"
"MS","OTU_1011","OTU_2214",1,1,"Positive"
"MS","OTU_1011","OTU_2215",1,1,"Positive"
"MS","OTU_1011","OTU_2255",1,1,"Positive"
"MS","OTU_1011","OTU_2330",1,1,"Positive"
"MS","OTU_1011","OTU_234",1,1,"Positive"
"MS","OTU_1011","OTU_2348",1,1,"Positive"
"MS","OTU_1011","OTU_2354",1,1,"Positive"
"MS","OTU_1011","OTU_236",1,1,"Positive"
