"Group","Node","Degree","Betweenness","Closeness","Eigenvector","Modularity","Zi","Pi","Role"
"LS","OTU_10",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_1015",66,0,0.0151515151515152,2.49469935874532e-15,2,0,0,"Peripheral"
"LS","OTU_1018",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1023",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_1027",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_1041",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1048",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_1053",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_107",42,0,0.0238095238095238,5.85574952103743e-17,3,0,0,"Peripheral"
"LS","OTU_1082",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_109",66,0,0.0151515151515152,2.54832668552476e-15,2,0,0,"Peripheral"
"LS","OTU_1104",66,0,0.0151515151515152,2.36050406606766e-15,2,0,0,"Peripheral"
"LS","OTU_111",66,0,0.0151515151515152,2.47242664339767e-15,2,0,0,"Peripheral"
"LS","OTU_1185",42,0,0.0238095238095238,1.51567254599343e-17,4,0,0,"Peripheral"
"LS","OTU_1192",42,0,0.0238095238095238,1.2957938372271e-17,4,0,0,"Peripheral"
"LS","OTU_1197",66,0,0.0151515151515152,2.31005175616846e-15,2,0,0,"Peripheral"
"LS","OTU_1201",42,0,0.0238095238095238,3.07089650452634e-17,3,0,0,"Peripheral"
"LS","OTU_1203",11,0,0.0909090909090909,0,6,0,0,"Peripheral"
"LS","OTU_1224",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_124",66,0,0.0151515151515152,2.40771956887747e-15,2,0,0,"Peripheral"
"LS","OTU_1246",11,0,0.0909090909090909,0,6,0,0,"Peripheral"
"LS","OTU_1263",66,0,0.0151515151515152,2.46259923175075e-15,2,0,0,"Peripheral"
"LS","OTU_1282",66,0,0.0151515151515152,2.44907958161605e-15,2,0,0,"Peripheral"
"LS","OTU_1300",66,0,0.0151515151515152,2.51566495823166e-15,2,0,0,"Peripheral"
"LS","OTU_1308",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1317",42,0,0.0238095238095238,4.53459936786256e-17,3,0,0,"Peripheral"
"LS","OTU_1318",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_1323",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1349",42,0,0.0238095238095238,6.03077284779216e-17,3,0,0,"Peripheral"
"LS","OTU_135",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1367",42,0,0.0238095238095238,3.26407177325521e-17,3,0,0,"Peripheral"
"LS","OTU_1368",42,0,0.0238095238095238,2.45542595252591e-17,4,0,0,"Peripheral"
"LS","OTU_1387",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1416",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_142",66,0,0.0151515151515152,2.46948986812598e-15,2,0,0,"Peripheral"
"LS","OTU_1421",42,0,0.0238095238095238,3.79986955210299e-17,4,0,0,"Peripheral"
"LS","OTU_1462",42,0,0.0238095238095238,8.89301628297663e-18,3,0,0,"Peripheral"
"LS","OTU_1467",66,0,0.0151515151515152,2.24307625599724e-15,2,0,0,"Peripheral"
"LS","OTU_148",42,0,0.0238095238095238,9.35529293667538e-17,3,0,0,"Peripheral"
"LS","OTU_1490",66,0,0.0151515151515152,2.3819631787928e-15,2,0,0,"Peripheral"
"LS","OTU_1492",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1516",42,0,0.0238095238095238,1.02731355959848e-16,3,0,0,"Peripheral"
"LS","OTU_1526",42,0,0.0238095238095238,1.42568954413993e-17,3,0,0,"Peripheral"
"LS","OTU_1557",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1571",66,0,0.0151515151515152,2.54842727069306e-15,2,0,0,"Peripheral"
"LS","OTU_1574",42,0,0.0238095238095238,8.87188836001796e-17,3,0,0,"Peripheral"
"LS","OTU_1585",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1606",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_1608",66,0,0.0151515151515152,2.61418030465828e-15,2,0,0,"Peripheral"
"LS","OTU_1629",42,0,0.0238095238095238,5.56389364935597e-18,4,0,0,"Peripheral"
"LS","OTU_163",42,0,0.0238095238095238,4.07346176377698e-18,4,0,0,"Peripheral"
"LS","OTU_1676",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1678",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_1687",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1703",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1710",66,0,0.0151515151515152,2.42422067572622e-15,2,0,0,"Peripheral"
"LS","OTU_1725",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1726",11,0,0.0909090909090909,0,6,0,0,"Peripheral"
"LS","OTU_1740",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1757",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_179",66,0,0.0151515151515152,2.46313056998349e-15,2,0,0,"Peripheral"
"LS","OTU_1812",42,0,0.0238095238095238,6.48510682057201e-18,4,0,0,"Peripheral"
"LS","OTU_1828",42,0,0.0238095238095238,4.92354238853657e-17,4,0,0,"Peripheral"
"LS","OTU_183",66,0,0.0151515151515152,2.49185026110844e-15,2,0,0,"Peripheral"
"LS","OTU_1832",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1843",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_185",66,0,0.0151515151515152,2.47899489581132e-15,2,0,0,"Peripheral"
"LS","OTU_1856",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1861",42,0,0.0238095238095238,1.44016098701875e-17,4,0,0,"Peripheral"
"LS","OTU_1863",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_1873",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1886",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1890",42,0,0.0238095238095238,9.37856234051188e-17,3,0,0,"Peripheral"
"LS","OTU_1907",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_191",66,0,0.0151515151515152,2.50661537277198e-15,2,0,0,"Peripheral"
"LS","OTU_1912",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1916",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1917",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1918",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1921",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_1935",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1936",66,0,0.0151515151515152,2.46002626556924e-15,2,0,0,"Peripheral"
"LS","OTU_1951",66,0,0.0151515151515152,2.36624023682708e-15,2,0,0,"Peripheral"
"LS","OTU_1976",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_1979",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_198",42,0,0.0238095238095238,4.08431803185192e-18,3,0,0,"Peripheral"
"LS","OTU_199",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_1995",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_20",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2012",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2029",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2031",11,0,0.0909090909090909,0,6,0,0,"Peripheral"
"LS","OTU_2036",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2040",66,0,0.0151515151515152,2.25482392046781e-15,2,0,0,"Peripheral"
"LS","OTU_2053",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2060",42,0,0.0238095238095238,1.05695449419015e-17,3,0,0,"Peripheral"
"LS","OTU_2061",42,0,0.0238095238095238,0,3,0,0,"Peripheral"
"LS","OTU_2072",42,0,0.0238095238095238,5.12528555050541e-17,3,0,0,"Peripheral"
"LS","OTU_2075",66,0,0.0151515151515152,2.45313052291985e-15,2,0,0,"Peripheral"
"LS","OTU_2081",42,0,0.0238095238095238,1.41660698861617e-17,3,0,0,"Peripheral"
"LS","OTU_2093",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2097",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2103",66,0,0.0151515151515152,2.51465142153913e-15,2,0,0,"Peripheral"
"LS","OTU_2104",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
