"Group","Node","Degree","Betweenness","Closeness","Eigenvector","Modularity","Zi","Pi","Role"
"MS","OTU_10",52,0,0.0192307692307692,4.73888221506842e-16,3,0,0,"Peripheral"
"MS","OTU_1011",34,0,0.0294117647058824,3.77299058440187e-16,4,0,0,"Peripheral"
"MS","OTU_1015",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1018",26,0,0.0384615384615385,1.30811790154492e-16,5,0,0,"Peripheral"
"MS","OTU_1023",52,0,0.0192307692307692,5.42131757534765e-16,3,0,0,"Peripheral"
"MS","OTU_1027",53,0,0.0188679245283019,1.25293666649343e-17,2,0,0,"Peripheral"
"MS","OTU_1048",22,0,0.0454545454545455,1.25086020684854e-16,6,0,0,"Peripheral"
"MS","OTU_1061",22,0,0.0454545454545455,1.04075413593905e-16,6,0,0,"Peripheral"
"MS","OTU_107",22,0,0.0454545454545455,1.95381445508536e-16,6,0,0,"Peripheral"
"MS","OTU_1082",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_109",52,0,0.0192307692307692,5.59156767905083e-16,3,0,0,"Peripheral"
"MS","OTU_1104",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_111",22,0,0.0454545454545455,1.2120702961854e-16,6,0,0,"Peripheral"
"MS","OTU_1135",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1173",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1185",22,0,0.0454545454545455,2.07109983574919e-16,6,0,0,"Peripheral"
"MS","OTU_119",34,0,0.0294117647058824,3.0351312345094e-16,4,0,0,"Peripheral"
"MS","OTU_1192",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_12",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1201",26,0,0.0384615384615385,2.26839208542254e-16,5,0,0,"Peripheral"
"MS","OTU_1203",52,0,0.0192307692307692,4.92828733817492e-16,3,0,0,"Peripheral"
"MS","OTU_1224",34,0,0.0294117647058824,3.15675058286436e-16,4,0,0,"Peripheral"
"MS","OTU_124",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1240",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1246",26,0,0.0384615384615385,1.77222138530973e-16,5,0,0,"Peripheral"
"MS","OTU_1263",26,0,0.0384615384615385,1.41725455488037e-16,5,0,0,"Peripheral"
"MS","OTU_1282",52,0,0.0192307692307692,4.57776442748343e-16,3,0,0,"Peripheral"
"MS","OTU_1300",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1308",34,0,0.0294117647058824,3.46087068562901e-16,4,0,0,"Peripheral"
"MS","OTU_1317",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1318",52,0,0.0192307692307692,3.79640413553775e-16,3,0,0,"Peripheral"
"MS","OTU_1323",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_135",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1366",52,0,0.0192307692307692,5.60050608805996e-16,3,0,0,"Peripheral"
"MS","OTU_1367",22,0,0.0454545454545455,1.84166549036069e-16,6,0,0,"Peripheral"
"MS","OTU_1368",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_142",34,0,0.0294117647058824,3.75078762291912e-16,4,0,0,"Peripheral"
"MS","OTU_1421",34,0,0.0294117647058824,3.15330360539808e-16,4,0,0,"Peripheral"
"MS","OTU_148",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1492",52,0,0.0192307692307692,5.18761775379476e-16,3,0,0,"Peripheral"
"MS","OTU_1516",22,0,0.0454545454545455,8.44224363683441e-17,6,0,0,"Peripheral"
"MS","OTU_155",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1557",52,0,0.0192307692307692,3.71911548648204e-16,3,0,0,"Peripheral"
"MS","OTU_1571",52,0,0.0192307692307692,4.02508804982968e-16,3,0,0,"Peripheral"
"MS","OTU_1574",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1585",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1606",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1608",52,0,0.0192307692307692,5.31739853872479e-16,3,0,0,"Peripheral"
"MS","OTU_1629",34,0,0.0294117647058824,3.61030689695457e-16,4,0,0,"Peripheral"
"MS","OTU_163",52,0,0.0192307692307692,4.12537098979649e-16,3,0,0,"Peripheral"
"MS","OTU_1657",26,0,0.0384615384615385,1.08955918138387e-16,5,0,0,"Peripheral"
"MS","OTU_1669",52,0,0.0192307692307692,5.10032206422561e-16,3,0,0,"Peripheral"
"MS","OTU_1676",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1678",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1687",34,0,0.0294117647058824,3.58034910447934e-16,4,0,0,"Peripheral"
"MS","OTU_1703",34,0,0.0294117647058824,3.39142843343644e-16,4,0,0,"Peripheral"
"MS","OTU_1710",52,0,0.0192307692307692,6.46452329301405e-16,3,0,0,"Peripheral"
"MS","OTU_1716",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1725",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1726",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1728",26,0,0.0384615384615385,1.44613828431313e-16,5,0,0,"Peripheral"
"MS","OTU_1729",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1740",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1757",34,0,0.0294117647058824,3.52853645087469e-16,4,0,0,"Peripheral"
"MS","OTU_1812",52,0,0.0192307692307692,4.17918790728203e-16,3,0,0,"Peripheral"
"MS","OTU_1828",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_183",52,0,0.0192307692307692,4.22696306405359e-16,3,0,0,"Peripheral"
"MS","OTU_1832",34,0,0.0294117647058824,3.34750001802031e-16,4,0,0,"Peripheral"
"MS","OTU_1843",26,0,0.0384615384615385,1.98000181534535e-16,5,0,0,"Peripheral"
"MS","OTU_185",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1856",26,0,0.0384615384615385,1.91994976653698e-16,5,0,0,"Peripheral"
"MS","OTU_1861",22,0,0.0454545454545455,1.09886242058837e-16,6,0,0,"Peripheral"
"MS","OTU_1863",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1873",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1884",52,0,0.0192307692307692,5.29200337238005e-16,3,0,0,"Peripheral"
"MS","OTU_1886",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1890",53,0,0.0188679245283019,1.11763652441373e-17,2,0,0,"Peripheral"
"MS","OTU_1892",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1907",22,0,0.0454545454545455,1.30309559754875e-16,6,0,0,"Peripheral"
"MS","OTU_191",22,0,0.0454545454545455,2.19604498515377e-16,6,0,0,"Peripheral"
"MS","OTU_1912",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_1916",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1917",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_1918",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1925",34,0,0.0294117647058824,3.15663878908529e-16,4,0,0,"Peripheral"
"MS","OTU_1935",22,0,0.0454545454545455,2.10342955349157e-16,6,0,0,"Peripheral"
"MS","OTU_1951",26,0,0.0384615384615385,1.32785008991134e-16,5,0,0,"Peripheral"
"MS","OTU_1971",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_1976",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_198",26,0,0.0384615384615385,1.79665574654479e-16,5,0,0,"Peripheral"
"MS","OTU_1995",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_20",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2012",26,0,0.0384615384615385,2.16907109917112e-16,5,0,0,"Peripheral"
"MS","OTU_2029",52,0,0.0192307692307692,5.11616228367016e-16,3,0,0,"Peripheral"
"MS","OTU_2031",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2036",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_2040",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2053",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2055",26,0,0.0384615384615385,1.37794215092066e-16,5,0,0,"Peripheral"
"MS","OTU_2060",26,0,0.0384615384615385,2.36270895261444e-16,5,0,0,"Peripheral"
"MS","OTU_2061",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2075",52,0,0.0192307692307692,4.60888546636357e-16,3,0,0,"Peripheral"
"MS","OTU_2081",34,0,0.0294117647058824,3.80614885586053e-16,4,0,0,"Peripheral"
"MS","OTU_2093",34,0,0.0294117647058824,3.67884257733046e-16,4,0,0,"Peripheral"
"MS","OTU_2095",22,0,0.0454545454545455,1.95507137135918e-16,6,0,0,"Peripheral"
"MS","OTU_210",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2103",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2104",34,0,0.0294117647058824,3.65763854769517e-16,4,0,0,"Peripheral"
"MS","OTU_2106",34,0,0.0294117647058824,3.89690278255147e-16,4,0,0,"Peripheral"
"MS","OTU_2122",34,0,0.0294117647058824,2.89130543531098e-16,4,0,0,"Peripheral"
"MS","OTU_2133",52,0,0.0192307692307692,4.55503788963702e-16,3,0,0,"Peripheral"
"MS","OTU_214",52,0,0.0192307692307692,5.20107184625005e-16,3,0,0,"Peripheral"
"MS","OTU_2145",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_215",53,0,0.0188679245283019,1.54088480649911e-17,2,0,0,"Peripheral"
"MS","OTU_2172",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2179",52,0,0.0192307692307692,4.57674343045801e-16,3,0,0,"Peripheral"
"MS","OTU_2180",52,0,0.0192307692307692,3.69068010667428e-16,3,0,0,"Peripheral"
"MS","OTU_2185",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2198",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2207",52,0,0.0192307692307692,3.51010089824131e-16,3,0,0,"Peripheral"
"MS","OTU_221",26,0,0.0384615384615385,1.26912850825847e-16,5,0,0,"Peripheral"
"MS","OTU_2214",34,0,0.0294117647058824,4.12159305314653e-16,4,0,0,"Peripheral"
"MS","OTU_2215",34,0,0.0294117647058824,2.8167496008254e-16,4,0,0,"Peripheral"
"MS","OTU_2216",52,0,0.0192307692307692,3.54515421926183e-16,3,0,0,"Peripheral"
"MS","OTU_2230",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_225",52,0,0.0192307692307692,2.57828498063363e-16,3,0,0,"Peripheral"
"MS","OTU_2255",34,0,0.0294117647058824,3.68079000921361e-16,4,0,0,"Peripheral"
"MS","OTU_2257",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_2274",52,0,0.0192307692307692,4.26414974066134e-16,3,0,0,"Peripheral"
"MS","OTU_2275",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_228",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2280",26,0,0.0384615384615385,1.52453003557848e-16,5,0,0,"Peripheral"
"MS","OTU_2291",52,0,0.0192307692307692,4.45425771552197e-16,3,0,0,"Peripheral"
"MS","OTU_2293",26,0,0.0384615384615385,1.15586295686656e-16,5,0,0,"Peripheral"
"MS","OTU_2294",52,0,0.0192307692307692,5.14941753801123e-16,3,0,0,"Peripheral"
"MS","OTU_2299",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_231",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_2313",22,0,0.0454545454545455,9.26798414232779e-17,6,0,0,"Peripheral"
"MS","OTU_2324",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2330",34,0,0.0294117647058824,3.71711274027966e-16,4,0,0,"Peripheral"
"MS","OTU_2335",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_234",34,0,0.0294117647058824,3.22892862327104e-16,4,0,0,"Peripheral"
"MS","OTU_2344",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2348",34,0,0.0294117647058824,2.80589158647126e-16,4,0,0,"Peripheral"
"MS","OTU_2354",34,0,0.0294117647058824,3.29801172532893e-16,4,0,0,"Peripheral"
"MS","OTU_236",34,0,0.0294117647058824,3.62183416109588e-16,4,0,0,"Peripheral"
"MS","OTU_2375",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_2380",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2388",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2393",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2404",34,0,0.0294117647058824,2.88437657492919e-16,4,0,0,"Peripheral"
"MS","OTU_2408",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2416",52,0,0.0192307692307692,4.12052985352086e-16,3,0,0,"Peripheral"
"MS","OTU_242",52,0,0.0192307692307692,4.01604298151298e-16,3,0,0,"Peripheral"
"MS","OTU_2421",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2435",52,0,0.0192307692307692,5.57538756908473e-16,3,0,0,"Peripheral"
"MS","OTU_2437",52,0,0.0192307692307692,3.93129374193514e-16,3,0,0,"Peripheral"
"MS","OTU_2438",72,0,0.0138888888888889,0.999999999999999,1,0,0,"Peripheral"
"MS","OTU_2439",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2448",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2452",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2490",34,0,0.0294117647058824,3.43880456090762e-16,4,0,0,"Peripheral"
"MS","OTU_2496",34,0,0.0294117647058824,2.81388013544953e-16,4,0,0,"Peripheral"
"MS","OTU_2497",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2502",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2512",53,0,0.0188679245283019,0,2,0,0,"Peripheral"
"MS","OTU_2515",52,0,0.0192307692307692,3.46082582156621e-16,3,0,0,"Peripheral"
"MS","OTU_254",22,0,0.0454545454545455,1.71683147211319e-16,6,0,0,"Peripheral"
"MS","OTU_2543",26,0,0.0384615384615385,2.11833173625237e-16,5,0,0,"Peripheral"
"MS","OTU_2548",26,0,0.0384615384615385,1.42579141932993e-16,5,0,0,"Peripheral"
"MS","OTU_2552",52,0,0.0192307692307692,5.98618506005965e-16,3,0,0,"Peripheral"
"MS","OTU_2560",72,0,0.0138888888888889,1,1,0,0,"Peripheral"
"MS","OTU_2564",34,0,0.0294117647058824,3.42149703931129e-16,4,0,0,"Peripheral"
"MS","OTU_2565",26,0,0.0384615384615385,1.78752658662219e-16,5,0,0,"Peripheral"
