Taxon,PA1,PS4,PS5,PS6,PS7,PS9
AABM5-125-24,0.0,12.0,0.0,0.0,0.0,0.0
ARS69,0.0,12.0,20.0,15.0,24.0,20.0
Acidimicrobiia,0.0,137.0,84.0,57.0,92.0,124.0
Alphaproteobacteria,25.0,34.0,62.0,11.0,46.0,17.0
Anaerolineae,183.0,363.0,328.0,527.0,466.0,424.0
Bacilli,30.0,41.0,34.0,26.0,37.0,33.0
Bacteroidia,93.0,278.0,297.0,89.0,245.0,215.0
Bdellovibrionia,0.0,0.0,11.0,0.0,0.0,0.0
Blastocatellia,0.0,10.0,0.0,11.0,0.0,0.0
Calditrichia,0.0,13.0,19.0,18.0,17.0,12.0
Campylobacteria,0.0,0.0,0.0,0.0,11.0,0.0
Chloroflexia,0.0,13.0,25.0,0.0,16.0,13.0
Clostridia,0.0,0.0,0.0,14.0,0.0,0.0
Dehalococcoidia,20.0,13.0,28.0,82.0,23.0,34.0
Desulfobacteria,0.0,13.0,23.0,0.0,25.0,0.0
Desulfomonilia,0.0,0.0,10.0,0.0,12.0,0.0
Electryoneia,0.0,32.0,15.0,10.0,34.0,16.0
Ellin6529,0.0,18.0,15.0,18.0,10.0,29.0
Gammaproteobacteria,209.0,282.0,260.0,93.0,203.0,140.0
Gemmatimonadetes,61.0,270.0,205.0,316.0,153.0,244.0
Ignavibacteria,32.0,28.0,27.0,28.0,18.0,35.0
JAGLTZ01,0.0,14.0,0.0,12.0,0.0,20.0
Kapaibacteriia,0.0,0.0,0.0,0.0,12.0,0.0
Krumholzibacteria,0.0,44.0,53.0,44.0,38.0,33.0
Limnochordia,0.0,10.0,20.0,12.0,22.0,16.0
Limnocylindria,0.0,25.0,18.0,21.0,22.0,24.0
MSB-5A5,0.0,37.0,26.0,38.0,38.0,20.0
Marinisomatia,0.0,13.0,0.0,0.0,15.0,0.0
Myxococcia,24.0,13.0,0.0,19.0,11.0,0.0
PLA2,0.0,0.0,0.0,30.0,0.0,0.0
Phycisphaerae,15.0,54.0,33.0,51.0,68.0,51.0
Polarisedimenticolia,0.0,70.0,71.0,45.0,80.0,65.0
Polyangia,31.0,72.0,62.0,27.0,36.0,50.0
RBG-16-71-46,18.0,23.0,25.0,59.0,24.0,22.0
Rhodothermia,0.0,51.0,47.0,32.0,49.0,45.0
SAR324,0.0,0.0,0.0,0.0,10.0,0.0
SZUA-365,0.0,0.0,0.0,0.0,10.0,0.0
Terriglobia,0.0,13.0,16.0,42.0,18.0,21.0
Thermoanaerobaculia,35.0,103.0,56.0,57.0,69.0,73.0
UBA10030,41.0,0.0,14.0,21.0,0.0,0.0
UBA1018,0.0,10.0,11.0,0.0,10.0,11.0
UBA1135,0.0,26.0,12.0,0.0,26.0,27.0
UBA1144,0.0,0.0,0.0,16.0,0.0,0.0
UBA2214,0.0,17.0,14.0,15.0,20.0,13.0
UBA4738,16.0,14.0,0.0,52.0,0.0,16.0
UBA6911,0.0,13.0,24.0,18.0,15.0,30.0
UBA890,0.0,21.0,21.0,0.0,14.0,23.0
UBA9160,0.0,74.0,57.0,22.0,54.0,52.0
Verrucomicrobiae,20.0,0.0,0.0,0.0,0.0,0.0
Vicinamibacteria,75.0,16.0,20.0,130.0,10.0,26.0
unclassified,145.0,114.0,125.0,97.0,129.0,140.0
