Taxon,PA1,PS4,PS5,PS6,PS7,PS9
2-12-FULL-66-21,0.0,11.0,0.0,15.0,0.0,0.0
2024-02-12,0.0,0.0,0.0,13.0,0.0,0.0
4484-95,0.0,14.0,0.0,0.0,11.0,0.0
ARS69,0.0,12.0,20.0,15.0,24.0,20.0
Amphibacillaceae,22.0,28.0,12.0,10.0,16.0,20.0
Ardenticatenaceae,0.0,0.0,0.0,0.0,24.0,20.0
Beggiatoaceae,18.0,0.0,20.0,0.0,0.0,0.0
Bryobacteraceae,0.0,12.0,10.0,42.0,18.0,21.0
Bu05,0.0,10.0,20.0,12.0,22.0,16.0
CSP1-4,0.0,21.0,20.0,25.0,16.0,33.0
Caldilineaceae,24.0,31.0,44.0,51.0,35.0,52.0
Chitinophagaceae,29.0,0.0,0.0,0.0,0.0,0.0
Chromatiaceae,10.0,12.0,20.0,0.0,17.0,0.0
Cyclobacteriaceae,0.0,57.0,59.0,0.0,50.0,34.0
DSM-18226,0.0,10.0,18.0,0.0,0.0,0.0
DSM-19610,0.0,18.0,0.0,0.0,0.0,0.0
DUEN01,0.0,11.0,0.0,10.0,0.0,0.0
E44-bin32,0.0,0.0,0.0,50.0,0.0,10.0
Electryoneaceae,0.0,32.0,15.0,10.0,34.0,16.0
Fen-336,20.0,0.0,0.0,40.0,0.0,13.0
Flavobacteriaceae,13.0,141.0,151.0,49.0,90.0,107.0
GCA-001735895,0.0,11.0,23.0,0.0,32.0,10.0
GCA-2748055,0.0,11.0,13.0,0.0,16.0,0.0
GCF-002020875,0.0,0.0,0.0,0.0,10.0,0.0
GWC2-71-9,35.0,49.0,33.0,168.0,42.0,69.0
Gemmatimonadaceae,17.0,0.0,0.0,0.0,0.0,0.0
HRBIN12,13.0,0.0,0.0,46.0,0.0,11.0
Haliangiaceae,13.0,0.0,0.0,0.0,0.0,0.0
Hatepunaeaceae,0.0,12.0,0.0,0.0,0.0,0.0
Ignavibacteriaceae,15.0,15.0,13.0,26.0,0.0,19.0
J042,0.0,0.0,10.0,0.0,0.0,0.0
J045,0.0,19.0,20.0,15.0,22.0,18.0
J102,0.0,19.0,14.0,0.0,0.0,10.0
J111,0.0,26.0,41.0,73.0,82.0,40.0
JAADGX01,0.0,0.0,0.0,0.0,10.0,0.0
JAAEKA01,0.0,0.0,0.0,0.0,0.0,16.0
JAAZOE01,0.0,0.0,0.0,12.0,0.0,0.0
JABDKH01,0.0,11.0,17.0,10.0,15.0,10.0
JACNKJ01,0.0,0.0,10.0,0.0,0.0,0.0
JACRBR01,0.0,0.0,0.0,22.0,0.0,0.0
JAENVV01,0.0,23.0,10.0,0.0,12.0,30.0
JAEUJM01,0.0,0.0,0.0,11.0,0.0,0.0
JAFDCJ01,0.0,12.0,18.0,0.0,22.0,0.0
JAFDET01,0.0,27.0,14.0,0.0,14.0,14.0
JAFNAJ01,0.0,0.0,0.0,18.0,0.0,0.0
JAGLTZ01,0.0,14.0,0.0,12.0,0.0,20.0
JAGNNV01,0.0,0.0,0.0,10.0,0.0,0.0
JAJDYQ01,0.0,14.0,10.0,0.0,0.0,0.0
JAKQTR01,14.0,0.0,0.0,0.0,0.0,0.0
KS3-K002,0.0,23.0,27.0,27.0,0.0,25.0
LZORAL124-64-63,0.0,13.0,28.0,31.0,31.0,17.0
Lachnospiraceae,0.0,0.0,0.0,14.0,0.0,0.0
Magnetovibrionaceae,0.0,0.0,12.0,0.0,0.0,0.0
MedAcidi-G1,0.0,10.0,0.0,0.0,0.0,0.0
Melioribacteraceae,0.0,13.0,14.0,0.0,10.0,13.0
Myxococcaceae,16.0,0.0,0.0,15.0,0.0,0.0
NAK82,19.0,44.0,45.0,113.0,51.0,62.0
P2-11E,0.0,0.0,0.0,0.0,13.0,0.0
PLA2,0.0,0.0,0.0,34.0,12.0,14.0
Palauibacteraceae,0.0,51.0,39.0,25.0,17.0,52.0
Phototrophicaceae,13.0,0.0,0.0,15.0,49.0,11.0
Phycisphaeraceae,0.0,0.0,0.0,11.0,18.0,0.0
Polarisedimenticolaceae,0.0,51.0,51.0,30.0,58.0,47.0
Polyangiaceae,13.0,0.0,0.0,12.0,0.0,0.0
Promineifilaceae,12.0,171.0,109.0,101.0,151.0,118.0
Promineofilaceae,0.0,0.0,0.0,0.0,11.0,0.0
QHBO01,0.0,14.0,10.0,0.0,0.0,11.0
RBG-16-64-32,0.0,0.0,0.0,24.0,0.0,0.0
RBG-16-71-46,16.0,17.0,15.0,39.0,20.0,17.0
RPQK01,0.0,13.0,24.0,18.0,15.0,30.0
Rhodobacteraceae,0.0,10.0,0.0,0.0,0.0,0.0
Rhodocyclaceae,131.0,0.0,12.0,0.0,0.0,0.0
Roseiflexaceae,0.0,0.0,14.0,0.0,14.0,0.0
SG8-38,0.0,57.0,52.0,10.0,22.0,40.0
SM1A02,0.0,17.0,0.0,0.0,12.0,0.0
SZUA-229,0.0,67.0,49.0,10.0,50.0,35.0
SZUA-252,0.0,0.0,10.0,19.0,0.0,0.0
Salinibacteraceae,0.0,10.0,0.0,0.0,0.0,0.0
Saprospiraceae,18.0,44.0,33.0,0.0,56.0,50.0
Sedimenticolaceae,0.0,67.0,59.0,27.0,39.0,30.0
Sulfomarinibacteraceae,0.0,39.0,11.0,10.0,0.0,17.0
Tepidiformaceae,10.0,0.0,0.0,15.0,0.0,0.0
Thiotrichaceae,0.0,0.0,13.0,0.0,0.0,0.0
UBA1018,0.0,10.0,11.0,0.0,10.0,11.0
UBA10348,0.0,15.0,10.0,0.0,0.0,13.0
UBA10806,0.0,10.0,0.0,0.0,0.0,0.0
UBA11373,0.0,15.0,18.0,0.0,0.0,17.0
UBA1924,0.0,25.0,21.0,25.0,27.0,30.0
UBA2386,0.0,18.0,0.0,0.0,15.0,13.0
UBA2774,0.0,0.0,0.0,14.0,0.0,0.0
UBA2999,12.0,0.0,0.0,41.0,0.0,0.0
UBA4142,13.0,0.0,0.0,0.0,0.0,0.0
UBA4427,0.0,23.0,23.0,10.0,25.0,19.0
UBA4823,43.0,20.0,19.0,57.0,30.0,50.0
UBA5066,27.0,0.0,0.0,12.0,0.0,10.0
UBA5704,0.0,62.0,42.0,34.0,57.0,39.0
UBA5794,0.0,56.0,33.0,14.0,40.0,51.0
UBA6429,0.0,24.0,14.0,0.0,13.0,14.0
UBA6906,0.0,0.0,0.0,13.0,0.0,0.0
UBA6930,0.0,15.0,11.0,0.0,10.0,10.0
UBA6960,0.0,126.0,96.0,82.0,75.0,87.0
UBA8401,25.0,0.0,10.0,0.0,0.0,0.0
UBA890,0.0,21.0,21.0,0.0,14.0,23.0
VGOW01,11.0,0.0,0.0,0.0,0.0,0.0
WVZY01,0.0,27.0,14.0,0.0,0.0,13.0
ZC4RG35,0.0,19.0,14.0,14.0,18.0,14.0
unclassified,451.0,516.0,549.0,494.0,615.0,502.0
