Taxon,PA1,PS4,PS5,PS6,PS7,PS9
41T-STBD-0c-01a,0.0,17.0,0.0,0.0,0.0,0.0
Ardenticatena,0.0,0.0,0.0,0.0,0.0,10.0
Azonexus,56.0,0.0,0.0,0.0,0.0,0.0
Benthicola,0.0,26.0,15.0,12.0,11.0,27.0
Bu05,0.0,10.0,20.0,12.0,22.0,16.0
CADEFD01,0.0,0.0,0.0,15.0,0.0,0.0
CAKKPP01,0.0,0.0,0.0,0.0,0.0,10.0
CALAKE01,0.0,21.0,21.0,0.0,14.0,23.0
CALZIK01,0.0,33.0,23.0,14.0,24.0,18.0
CALZJC01,0.0,25.0,14.0,0.0,28.0,14.0
CF-167,0.0,14.0,10.0,0.0,0.0,11.0
CR02bin9,0.0,0.0,0.0,12.0,0.0,0.0
Caldilinea,0.0,0.0,0.0,12.0,0.0,10.0
DSOS01,13.0,0.0,0.0,32.0,0.0,0.0
DSPQ01,0.0,0.0,0.0,50.0,0.0,10.0
DSRY01,0.0,0.0,0.0,14.0,0.0,0.0
Desulfobacillus,11.0,0.0,0.0,0.0,0.0,0.0
Eudoraea,0.0,0.0,10.0,0.0,0.0,0.0
G020343875,16.0,20.0,25.0,77.0,21.0,31.0
G020344215,0.0,0.0,14.0,0.0,0.0,10.0
G020350445,0.0,13.0,24.0,18.0,15.0,30.0
G020350785,0.0,16.0,13.0,20.0,0.0,15.0
G020351775,0.0,15.0,0.0,17.0,10.0,11.0
G020351855,0.0,19.0,17.0,10.0,0.0,15.0
GCA-001735895,0.0,11.0,22.0,0.0,31.0,10.0
GCA-020352575,0.0,23.0,10.0,0.0,12.0,30.0
GCA-2748055,0.0,11.0,13.0,0.0,16.0,0.0
HRBIN12,0.0,0.0,0.0,19.0,0.0,0.0
HRBIN33,0.0,0.0,0.0,11.0,0.0,0.0
IDS-52,0.0,56.0,32.0,18.0,21.0,31.0
IGN2,0.0,11.0,0.0,16.0,0.0,12.0
J065,0.0,16.0,17.0,10.0,16.0,15.0
J095,0.0,0.0,12.0,25.0,25.0,0.0
JAACFF01,0.0,37.0,21.0,0.0,24.0,15.0
JAADGX01,0.0,0.0,0.0,0.0,10.0,0.0
JAAEPZ01,0.0,0.0,10.0,0.0,0.0,0.0
JAAEQD01,0.0,14.0,0.0,0.0,11.0,0.0
JAAEQF01,0.0,0.0,0.0,12.0,0.0,0.0
JAAETI01,0.0,11.0,0.0,0.0,18.0,15.0
JAAUQL01,0.0,21.0,23.0,0.0,17.0,13.0
JAAYYY01,0.0,11.0,10.0,0.0,11.0,0.0
JABDKH01,0.0,0.0,10.0,0.0,0.0,0.0
JABDNZ01,0.0,25.0,29.0,30.0,26.0,24.0
JABDQW01,0.0,48.0,32.0,0.0,32.0,23.0
JABGPL01,0.0,12.0,0.0,0.0,0.0,0.0
JACDDX01,0.0,0.0,0.0,10.0,0.0,0.0
JACKCD01,0.0,0.0,0.0,0.0,15.0,0.0
JACPOT01,0.0,0.0,0.0,0.0,10.0,0.0
JACRMI01,10.0,0.0,0.0,0.0,0.0,0.0
JACZWZ01,0.0,10.0,12.0,0.0,0.0,14.0
JADMII01,0.0,0.0,0.0,12.0,0.0,0.0
JAEUJM01,0.0,0.0,0.0,11.0,0.0,0.0
JAFDCJ01,0.0,12.0,18.0,0.0,22.0,0.0
JAFDET01,0.0,20.0,0.0,0.0,12.0,0.0
JAGNNV01,0.0,0.0,0.0,10.0,0.0,0.0
JAGRBY01,0.0,0.0,0.0,15.0,11.0,0.0
JAGRNP01,0.0,0.0,17.0,11.0,14.0,0.0
JAGUYW01,0.0,0.0,0.0,10.0,0.0,0.0
JAGVPT01,11.0,0.0,0.0,0.0,0.0,0.0
JAGVTM01,0.0,0.0,0.0,0.0,10.0,0.0
JAHDVQ01,0.0,0.0,0.0,11.0,0.0,0.0
JAHEDG01,0.0,10.0,0.0,0.0,0.0,0.0
JAICEW01,13.0,0.0,0.0,12.0,0.0,0.0
JAJDYQ01,0.0,14.0,10.0,0.0,0.0,0.0
JAJRVO01,0.0,0.0,0.0,15.0,22.0,15.0
JAKQTR01,14.0,0.0,0.0,0.0,0.0,0.0
JALGVQ01,0.0,14.0,0.0,12.0,0.0,20.0
JALGZO01,0.0,0.0,14.0,11.0,17.0,15.0
JALSRI01,0.0,18.0,0.0,0.0,0.0,0.0
JALSRK01,0.0,0.0,10.0,35.0,18.0,21.0
JALSSV01,0.0,11.0,0.0,0.0,0.0,0.0
JAMPXJ01,0.0,10.0,10.0,0.0,10.0,11.0
JANQEY01,0.0,32.0,15.0,10.0,34.0,16.0
JANQQF01,0.0,0.0,17.0,15.0,20.0,10.0
JANQRA01,0.0,18.0,10.0,13.0,16.0,14.0
JAOTVV01,0.0,0.0,0.0,0.0,0.0,11.0
JAOTWJ01,0.0,0.0,0.0,20.0,0.0,0.0
JAOTYK01,0.0,25.0,22.0,0.0,16.0,14.0
JAOUPR01,0.0,0.0,0.0,10.0,0.0,0.0
JAPHQX01,0.0,0.0,0.0,0.0,10.0,0.0
JASJAX01,0.0,13.0,0.0,0.0,0.0,14.0
JAUSFE01,0.0,0.0,0.0,12.0,0.0,0.0
JAUVPY01,0.0,24.0,20.0,36.0,30.0,31.0
JAUZRW01,0.0,0.0,0.0,0.0,16.0,0.0
Kouleothrix,0.0,0.0,14.0,0.0,14.0,0.0
Lentibacillus,14.0,18.0,0.0,0.0,0.0,10.0
Lentibacillus_C,0.0,10.0,0.0,0.0,12.0,10.0
Litorilinea,0.0,0.0,0.0,11.0,0.0,10.0
Lutibacter,0.0,0.0,12.0,0.0,0.0,0.0
Lutimonas,0.0,36.0,51.0,0.0,11.0,27.0
MONJU,0.0,0.0,10.0,0.0,0.0,0.0
Neobacillus,0.0,0.0,14.0,0.0,0.0,0.0
PFL25,0.0,16.0,15.0,0.0,20.0,27.0
PLA2,0.0,0.0,0.0,34.0,12.0,14.0
QQUD01,0.0,0.0,0.0,0.0,10.0,0.0
RBG-16-57-11,21.0,0.0,0.0,0.0,0.0,11.0
Robiginitalea,0.0,26.0,12.0,23.0,14.0,21.0
SG8-38,0.0,56.0,52.0,10.0,22.0,40.0
SKPT01,0.0,0.0,0.0,0.0,16.0,0.0
SSF26,0.0,11.0,0.0,0.0,0.0,0.0
SZUA-252,0.0,0.0,0.0,15.0,0.0,0.0
SZUA-318,0.0,0.0,0.0,14.0,0.0,0.0
SZUA-320,19.0,0.0,0.0,56.0,0.0,0.0
SZUA-442,0.0,19.0,0.0,0.0,0.0,0.0
SZUA-448,0.0,0.0,0.0,14.0,0.0,0.0
Salinibacter,0.0,10.0,0.0,0.0,0.0,0.0
Sedimenticola,0.0,0.0,10.0,0.0,0.0,0.0
Sulfomarinibacter,0.0,39.0,11.0,10.0,0.0,17.0
Sulfuricystis,27.0,0.0,0.0,0.0,0.0,0.0
Thiolapillus,0.0,12.0,0.0,0.0,0.0,0.0
Thiopontia,0.0,0.0,0.0,0.0,10.0,0.0
UBA11865,0.0,87.0,44.0,52.0,65.0,59.0
UBA2376,10.0,0.0,0.0,0.0,0.0,0.0
UBA2589,0.0,14.0,0.0,0.0,0.0,11.0
UBA5066,13.0,0.0,0.0,0.0,0.0,0.0
