Taxon,PA1,PS4,PS5,PS6,PS7,PS9
AABM5-125-24,0.0,2048.58632179,0.0,0.0,0.0,0.0
ARS69,0.0,2048.58632179,3674.87634041,3079.11730328,4063.11232372,3865.23173804
Acidimicrobiia,0.0,23388.02717381,15434.48062973,11700.64575248,15575.26390761,23964.43677582
Alphaproteobacteria,10031.99000974,5804.32791175,11392.11665527,2258.01935574,7787.63195381,3285.44697733
Anaerolineae,73434.16687132,61969.73623427,60267.97198274,108179.65458873,78892.09761898,81942.91284637
Bacilli,12038.38801169,6999.33659946,6247.2897787,5337.13665903,6263.96483241,6377.63236776
Bacteroidia,37319.00283624,47458.91645489,54571.91365511,18269.42933282,41477.60497135,41551.24118389
Bdellovibrionia,0.0,0.0,2021.18198723,0.0,0.0,0.0
Blastocatellia,0.0,1707.15526816,0.0,2258.01935574,0.0,0.0
Calditrichia,0.0,2219.30184861,3491.13252339,3694.94076394,2878.03789597,2319.13904282
Campylobacteria,0.0,0.0,0.0,0.0,1862.25981504,0.0
Chloroflexia,0.0,2219.30184861,4593.59542551,0.0,2708.74154915,2512.40062972
Clostridia,0.0,0.0,0.0,2873.8428164,0.0,0.0
Dehalococcoidia,8025.59200779,2219.30184861,5144.82687658,16832.50792462,3893.8159769,6570.89395466
Desulfobacteria,0.0,2219.30184861,4226.10779147,0.0,4232.40867055,0.0
Desulfomonilia,0.0,0.0,1837.43817021,0.0,2031.55616186,0.0
Electryoneia,0.0,5462.89685812,2756.15725531,2052.74486886,5756.07579194,3092.18539043
Ellin6529,0.0,3072.87948269,2756.15725531,3694.94076394,1692.96346822,5604.58602015
Gammaproteobacteria,83867.43648145,48141.77856216,47773.39242534,19090.52728036,34367.15840484,27056.62216625
Gemmatimonadetes,24478.05562377,46093.19224036,37667.48248921,64866.73785586,25902.34106374,47155.82720404
Ignavibacteria,12840.94721247,4780.03475085,4961.08305956,5747.6856328,3047.33424279,6764.15554156
JAGLTZ01,0.0,2390.01737543,0.0,2463.29384263,0.0,3865.23173804
Kapaibacteriia,0.0,0.0,0.0,0.0,2031.55616186,0.0
Krumholzibacteria,0.0,7511.48317991,9738.42230209,9032.07742297,6433.26117923,6377.63236776
Limnochordia,0.0,1707.15526816,3674.87634041,2463.29384263,3724.51963008,3092.18539043
Limnocylindria,0.0,4267.8881704,3307.38870637,4310.7642246,3724.51963008,4638.27808564
MSB-5A5,0.0,6316.4744922,4777.33924253,7800.43050165,6433.26117923,3865.23173804
Marinisomatia,0.0,2219.30184861,0.0,0.0,2539.44520233,0.0
Myxococcia,9630.71040935,2219.30184861,0.0,3900.21525083,1862.25981504,0.0
PLA2,0.0,0.0,0.0,6158.23460657,0.0,0.0
Phycisphaerae,6019.19400585,9218.63844807,6063.54596168,10468.99883117,11512.15158389,9856.34093199
Polarisedimenticolia,0.0,11950.08687713,13045.81100846,9237.35190985,13543.70774575,12562.00314862
Polyangia,12439.66761208,12291.51793076,11392.11665527,5542.41114591,6094.66848559,9663.07934509
RBG-16-71-46,7223.03280702,3926.45711677,4593.59542551,12111.19472625,4063.11232372,4251.75491184
Rhodothermia,0.0,8706.49186762,8635.95939997,6568.78358034,8295.52099427,8696.77141058
SAR324,0.0,0.0,0.0,0.0,1692.96346822,0.0
SZUA-365,0.0,0.0,0.0,0.0,1692.96346822,0.0
Terriglobia,0.0,2219.30184861,2939.90107233,8621.5284492,3047.33424279,4058.49332494
Thermoanaerobaculia,14044.78601364,17583.69926207,10289.65375315,11700.64575248,11681.44793071,14108.09584383
UBA10030,16452.46361598,0.0,2572.41343829,4310.7642246,0.0,0.0
UBA1018,0.0,1707.15526816,2021.18198723,0.0,1692.96346822,2125.87745592
UBA1135,0.0,4438.60369722,2204.92580425,0.0,4401.70501737,5218.06284635
UBA1144,0.0,0.0,0.0,3284.39179017,0.0,0.0
UBA2214,0.0,2902.16395587,2572.41343829,3079.11730328,3385.92693644,2512.40062972
UBA4738,6420.47360624,2390.01737543,0.0,10674.27331805,0.0,3092.18539043
UBA6911,0.0,2219.30184861,4409.85160849,3694.94076394,2539.44520233,5797.84760705
UBA890,0.0,3585.02606314,3858.62015743,0.0,2370.14885551,4445.01649874
UBA9160,0.0,12632.9489844,10473.39757017,4516.03871148,9142.00272838,10049.60251889
Verrucomicrobiae,8025.59200779,0.0,0.0,0.0,0.0,0.0
Vicinamibacteria,30095.97002923,2731.44842906,3674.87634041,26685.68329513,1692.96346822,5024.80125945
unclassified,58185.54205651,19461.57005704,22967.97712757,19911.62522791,21839.22874002,27056.62216625
