Taxon,PA1,PS4,PS5,PS6,PS7,PS9
2-12-FULL-66-21,0.0,1877.87079498,0.0,3079.11730328,0.0,0.0
2024-02-12,0.0,0.0,0.0,2668.56832951,0.0,0.0
4484-95,0.0,2390.01737543,0.0,0.0,1862.25981504,0.0
ARS69,0.0,2048.58632179,3674.87634041,3079.11730328,4063.11232372,3865.23173804
Amphibacillaceae,8828.15120857,4780.03475085,2204.92580425,2052.74486886,2708.74154915,3865.23173804
Ardenticatenaceae,0.0,0.0,0.0,0.0,4063.11232372,3865.23173804
Beggiatoaceae,7223.03280702,0.0,3674.87634041,0.0,0.0,0.0
Bryobacteraceae,0.0,2048.58632179,1837.43817021,8621.5284492,3047.33424279,4058.49332494
Bu05,0.0,1707.15526816,3674.87634041,2463.29384263,3724.51963008,3092.18539043
CSP1-4,0.0,3585.02606314,3674.87634041,5131.86217214,2708.74154915,6377.63236776
Caldilineaceae,9630.71040935,5292.1813313,8084.7279489,10468.99883117,5925.37213876,10049.60251889
Chitinophagaceae,11637.1084113,0.0,0.0,0.0,0.0,0.0
Chromatiaceae,4012.7960039,2048.58632179,3674.87634041,0.0,2878.03789597,0.0
Cyclobacteriaceae,0.0,9730.78502852,10840.88520421,0.0,8464.81734109,6570.89395466
DSM-18226,0.0,1707.15526816,3307.38870637,0.0,0.0,0.0
DSM-19610,0.0,3072.87948269,0.0,0.0,0.0,0.0
DUEN01,0.0,1877.87079498,0.0,2052.74486886,0.0,0.0
E44-bin32,0.0,0.0,0.0,10263.72434428,0.0,1932.61586902
Electryoneaceae,0.0,5462.89685812,2756.15725531,2052.74486886,5756.07579194,3092.18539043
Fen-336,8025.59200779,0.0,0.0,8210.97947543,0.0,2512.40062972
Flavobacteriaceae,5216.63480507,24070.88928108,27745.3163701,10058.4498574,15236.67121397,20678.98979849
GCA-001735895,0.0,1877.87079498,4226.10779147,0.0,5417.4830983,1932.61586902
GCA-2748055,0.0,1877.87079498,2388.66962127,0.0,2708.74154915,0.0
GCF-002020875,0.0,0.0,0.0,0.0,1692.96346822,0.0
GWC2-71-9,14044.78601364,8365.06081399,6063.54596168,34486.11379679,7110.44656652,13335.04949623
Gemmatimonadaceae,6821.75320663,0.0,0.0,0.0,0.0,0.0
HRBIN12,5216.63480507,0.0,0.0,9442.62639674,0.0,2125.87745592
Haliangiaceae,5216.63480507,0.0,0.0,0.0,0.0,0.0
Hatepunaeaceae,0.0,2048.58632179,0.0,0.0,0.0,0.0
Ignavibacteriaceae,6019.19400585,2560.73290224,2388.66962127,5337.13665903,0.0,3671.97015113
J042,0.0,0.0,1837.43817021,0.0,0.0,0.0
J045,0.0,3243.59500951,3674.87634041,3079.11730328,3724.51963008,3478.70856423
J102,0.0,3243.59500951,2572.41343829,0.0,0.0,1932.61586902
J111,0.0,4438.60369722,7533.49649784,14985.03754265,13882.30043939,7730.46347607
JAADGX01,0.0,0.0,0.0,0.0,1692.96346822,0.0
JAAEKA01,0.0,0.0,0.0,0.0,0.0,3092.18539043
JAAZOE01,0.0,0.0,0.0,2463.29384263,0.0,0.0
JABDKH01,0.0,1877.87079498,3123.64488935,2052.74486886,2539.44520233,1932.61586902
JACNKJ01,0.0,0.0,1837.43817021,0.0,0.0,0.0
JACRBR01,0.0,0.0,0.0,4516.03871148,0.0,0.0
JAENVV01,0.0,3926.45711677,1837.43817021,0.0,2031.55616186,5797.84760705
JAEUJM01,0.0,0.0,0.0,2258.01935574,0.0,0.0
JAFDCJ01,0.0,2048.58632179,3307.38870637,0.0,3724.51963008,0.0
