Taxon,PA1,PS4,PS5,PS6,PS7,PS9
41T-STBD-0c-01a,0.0,2902.16395587,0.0,0.0,0.0,0.0
Ardenticatena,0.0,0.0,0.0,0.0,0.0,1932.61586902
Azonexus,22471.65762182,0.0,0.0,0.0,0.0,0.0
Benthicola,0.0,4438.60369722,2756.15725531,2463.29384263,1862.25981504,5218.06284635
Bu05,0.0,1707.15526816,3674.87634041,2463.29384263,3724.51963008,3092.18539043
CADEFD01,0.0,0.0,0.0,3079.11730328,0.0,0.0
CAKKPP01,0.0,0.0,0.0,0.0,0.0,1932.61586902
CALAKE01,0.0,3585.02606314,3858.62015743,0.0,2370.14885551,4445.01649874
CALZIK01,0.0,5633.61238493,4226.10779147,2873.8428164,4063.11232372,3478.70856423
CALZJC01,0.0,4267.8881704,2572.41343829,0.0,4740.29771101,2705.66221663
CF-167,0.0,2390.01737543,1837.43817021,0.0,0.0,2125.87745592
CR02bin9,0.0,0.0,0.0,2463.29384263,0.0,0.0
Caldilinea,0.0,0.0,0.0,2463.29384263,0.0,1932.61586902
DSOS01,5216.63480507,0.0,0.0,6568.78358034,0.0,0.0
DSPQ01,0.0,0.0,0.0,10263.72434428,0.0,1932.61586902
DSRY01,0.0,0.0,0.0,2873.8428164,0.0,0.0
Desulfobacillus,4414.07560429,0.0,0.0,0.0,0.0,0.0
Eudoraea,0.0,0.0,1837.43817021,0.0,0.0,0.0
G020343875,6420.47360624,3414.31053632,4593.59542551,15806.13549019,3555.22328326,5991.10919396
G020344215,0.0,0.0,2572.41343829,0.0,0.0,1932.61586902
G020350445,0.0,2219.30184861,4409.85160849,3694.94076394,2539.44520233,5797.84760705
G020350785,0.0,2731.44842906,2388.66962127,4105.48973771,0.0,2898.92380353
G020351775,0.0,2560.73290224,0.0,3489.66627706,1692.96346822,2125.87745592
G020351855,0.0,3243.59500951,3123.64488935,2052.74486886,0.0,2898.92380353
GCA-001735895,0.0,1877.87079498,4042.36397445,0.0,5248.18675148,1932.61586902
GCA-020352575,0.0,3926.45711677,1837.43817021,0.0,2031.55616186,5797.84760705
GCA-2748055,0.0,1877.87079498,2388.66962127,0.0,2708.74154915,0.0
HRBIN12,0.0,0.0,0.0,3900.21525083,0.0,0.0
HRBIN33,0.0,0.0,0.0,2258.01935574,0.0,0.0
IDS-52,0.0,9560.06950171,5879.80214466,3694.94076394,3555.22328326,5991.10919396
IGN2,0.0,1877.87079498,0.0,3284.39179017,0.0,2319.13904282
J065,0.0,2731.44842906,3123.64488935,2052.74486886,2708.74154915,2898.92380353
J095,0.0,0.0,2204.92580425,5131.86217214,4232.40867055,0.0
JAACFF01,0.0,6316.4744922,3858.62015743,0.0,4063.11232372,2898.92380353
JAADGX01,0.0,0.0,0.0,0.0,1692.96346822,0.0
JAAEPZ01,0.0,0.0,1837.43817021,0.0,0.0,0.0
JAAEQD01,0.0,2390.01737543,0.0,0.0,1862.25981504,0.0
JAAEQF01,0.0,0.0,0.0,2463.29384263,0.0,0.0
JAAETI01,0.0,1877.87079498,0.0,0.0,3047.33424279,2898.92380353
JAAUQL01,0.0,3585.02606314,4226.10779147,0.0,2878.03789597,2512.40062972
JAAYYY01,0.0,1877.87079498,1837.43817021,0.0,1862.25981504,0.0
JABDKH01,0.0,0.0,1837.43817021,0.0,0.0,0.0
JABDNZ01,0.0,4267.8881704,5328.5706936,6158.23460657,4401.70501737,4638.27808564
JABDQW01,0.0,8194.34528718,5879.80214466,0.0,5417.4830983,4445.01649874
JABGPL01,0.0,2048.58632179,0.0,0.0,0.0,0.0
JACDDX01,0.0,0.0,0.0,2052.74486886,0.0,0.0
JACKCD01,0.0,0.0,0.0,0.0,2539.44520233,0.0
JACPOT01,0.0,0.0,0.0,0.0,1692.96346822,0.0
JACRMI01,4012.7960039,0.0,0.0,0.0,0.0,0.0
JACZWZ01,0.0,1707.15526816,2204.92580425,0.0,0.0,2705.66221663
JADMII01,0.0,0.0,0.0,2463.29384263,0.0,0.0
JAEUJM01,0.0,0.0,0.0,2258.01935574,0.0,0.0
JAFDCJ01,0.0,2048.58632179,3307.38870637,0.0,3724.51963008,0.0
JAFDET01,0.0,3414.31053632,0.0,0.0,2031.55616186,0.0
JAGNNV01,0.0,0.0,0.0,2052.74486886,0.0,0.0
JAGRBY01,0.0,0.0,0.0,3079.11730328,1862.25981504,0.0
JAGRNP01,0.0,0.0,3123.64488935,2258.01935574,2370.14885551,0.0
JAGUYW01,0.0,0.0,0.0,2052.74486886,0.0,0.0
JAGVPT01,4414.07560429,0.0,0.0,0.0,0.0,0.0
JAGVTM01,0.0,0.0,0.0,0.0,1692.96346822,0.0
JAHDVQ01,0.0,0.0,0.0,2258.01935574,0.0,0.0
JAHEDG01,0.0,1707.15526816,0.0,0.0,0.0,0.0
JAICEW01,5216.63480507,0.0,0.0,2463.29384263,0.0,0.0
JAJDYQ01,0.0,2390.01737543,1837.43817021,0.0,0.0,0.0
JAJRVO01,0.0,0.0,0.0,3079.11730328,3724.51963008,2898.92380353
JAKQTR01,5617.91440546,0.0,0.0,0.0,0.0,0.0
