Taxon,PA1,PS4,PS5,PS6,PS7,PS9
4572-78,10834.54921052,11950.08687713,15801.96826377,38181.05456073,22516.41412731,19712.68186398
ARS69,0.0,2048.58632179,3674.87634041,3079.11730328,4063.11232372,3865.23173804
Acidimicrobiales,0.0,3243.59500951,0.0,4310.7642246,2878.03789597,1932.61586902
Aggregatilineales,6821.75320663,0.0,2572.41343829,4926.58768526,9988.48446249,2898.92380353
Anaerolineales,27287.0128265,4438.60369722,6431.03359572,24838.21291316,5248.18675148,13141.78790932
Ardenticatenales,0.0,0.0,0.0,0.0,4063.11232372,3865.23173804
Bacillales_B,0.0,1707.15526816,3307.38870637,0.0,0.0,0.0
Bacillales_D,8828.15120857,4780.03475085,2204.92580425,2052.74486886,2708.74154915,3865.23173804
Bacteroidales,0.0,3072.87948269,5512.31451062,0.0,3216.63058962,0.0
Beggiatoales,7223.03280702,0.0,3674.87634041,0.0,0.0,0.0
Bryobacterales,0.0,2048.58632179,1837.43817021,8621.5284492,3047.33424279,4058.49332494
Burkholderiales,59389.38085768,2048.58632179,2388.66962127,2463.29384263,0.0,2125.87745592
CSP1-4,0.0,0.0,0.0,0.0,0.0,2898.92380353
Caldilineales,9630.71040935,5633.61238493,8084.7279489,10468.99883117,5925.37213876,11015.9104534
Campylobacterales,0.0,0.0,0.0,0.0,1862.25981504,0.0
Chitinophagales,18860.14121832,8194.34528718,6614.77741274,3284.39179017,11004.26254342,10242.8641058
Chloroflexales,0.0,0.0,2572.41343829,0.0,2370.14885551,0.0
Chromatiales,7223.03280702,13486.52661848,14515.76154462,6158.23460657,9480.59542202,7343.94030227
Cytophagales,4414.07560429,10413.64713579,11208.37283825,0.0,8803.41003474,7537.20188917
DRLW01,0.0,1877.87079498,0.0,2873.8428164,0.0,0.0
DSM-19610,0.0,3072.87948269,0.0,0.0,0.0,0.0
DSTF01,0.0,0.0,0.0,5747.6856328,0.0,0.0
DUEN01,0.0,1877.87079498,0.0,2052.74486886,0.0,0.0
Desulfobacterales,0.0,2219.30184861,4226.10779147,0.0,4232.40867055,0.0
Electryoneales,0.0,5462.89685812,2756.15725531,2052.74486886,5756.07579194,3092.18539043
Fen-336,9630.71040935,0.0,0.0,10263.72434428,0.0,2512.40062972
Flavobacteriales,6821.75320663,25607.32902242,30501.47362541,11700.64575248,17437.52372265,22031.82090681
GCA-001735895,0.0,1877.87079498,4226.10779147,0.0,5417.4830983,1932.61586902
GCF-002020875,0.0,0.0,0.0,0.0,1692.96346822,0.0
GN15,0.0,2219.30184861,2388.66962127,5337.13665903,3385.92693644,2319.13904282
Gemmatimonadales,21267.81882066,9901.50055534,6982.26504678,36128.30969187,7787.63195381,14108.09584383
Haliangiales,5216.63480507,0.0,0.0,0.0,0.0,0.0
Hatepunaeales,0.0,2048.58632179,0.0,0.0,0.0,0.0
Ignavibacteriales,9229.43080896,4780.03475085,4961.08305956,5337.13665903,3047.33424279,6184.37078086
J045,0.0,3243.59500951,3674.87634041,3079.11730328,3724.51963008,3478.70856423
J102,0.0,3243.59500951,2572.41343829,0.0,0.0,1932.61586902
JAAEKA01,0.0,0.0,0.0,0.0,0.0,2125.87745592
JACNKJ01,0.0,0.0,1837.43817021,0.0,0.0,0.0
JAGLTZ01,0.0,2390.01737543,0.0,2463.29384263,0.0,3865.23173804
JAJDYQ01,0.0,2390.01737543,1837.43817021,0.0,0.0,0.0
Kapaibacteriales,0.0,0.0,0.0,0.0,1692.96346822,0.0
LZORAL124-64-63,0.0,2219.30184861,5144.82687658,6363.50909345,5248.18675148,3285.44697733
Lachnospirales,0.0,0.0,0.0,2873.8428164,0.0,0.0
Limnochordales,0.0,1707.15526816,3674.87634041,2463.29384263,3724.51963008,3092.18539043
Limnocylindrales,0.0,3072.87948269,2756.15725531,3284.39179017,1692.96346822,3478.70856423
Longimicrobiales,0.0,23046.59612018,18190.63788504,17037.78241151,13713.00409257,17200.28123426
Marinisomatales,0.0,2219.30184861,0.0,0.0,2539.44520233,0.0
Multivoradales,0.0,10584.3626626,7717.24031486,6979.33255411,9649.89176885,8116.98664988
Myxococcales,9630.71040935,2219.30184861,0.0,3900.21525083,1862.25981504,0.0
P2-11E,0.0,0.0,0.0,0.0,2200.85250868,0.0
PLA2,0.0,0.0,0.0,6979.33255411,2031.55616186,2705.66221663
Palauibacterales,0.0,12632.9489844,12127.09192336,10674.27331805,4063.11232372,14881.14219144
Phycisphaerales,4012.7960039,8365.06081399,6063.54596168,9237.35190985,9649.89176885,9083.29458439
Polarisedimenticolales,0.0,8706.49186762,9370.93466805,6158.23460657,9819.18811567,9083.29458439
Polyangiales,5617.91440546,11096.50924305,9922.16611911,4926.58768526,5417.4830983,8696.77141058
Promineifilales,4815.35520468,29192.35508556,20028.07605524,20732.72317545,25563.7483701,22804.86725441
Promineofilales,0.0,0.0,0.0,0.0,1862.25981504,0.0
QHBO01,0.0,2390.01737543,1837.43817021,0.0,0.0,2125.87745592
RBG-13-44-9,0.0,1707.15526816,2756.15725531,2052.74486886,2031.55616186,1932.61586902
RBG-16-71-46,6420.47360624,2902.16395587,2756.15725531,8210.97947543,3724.51963008,3285.44697733
RPQK01,0.0,2219.30184861,4409.85160849,3694.94076394,2539.44520233,5797.84760705
Rhizobiales,6821.75320663,1707.15526816,4777.33924253,0.0,1862.25981504,0.0
Rhodobacterales,0.0,1707.15526816,0.0,0.0,0.0,0.0
Rhodospirillales_A,0.0,1707.15526816,4961.08305956,0.0,3216.63058962,0.0
Rhodothermales,0.0,8365.06081399,7533.49649784,5952.96011968,7279.74291334,8503.50982368
SM23-28-2,0.0,0.0,0.0,4926.58768526,0.0,0.0
