Taxon,PA1,PS4,PS5,PS6,PS7,PS9
ARS69,0.0,2048.58632179,3674.87634041,3079.11730328,4063.11232372,3865.23173804
Acidobacteriota,47350.99284599,42337.45065041,40239.8959275,63840.36542143,36060.12187305,46382.78085643
Actinobacteriota,5617.91440546,1877.87079498,0.0,4721.31319837,0.0,0.0
Actinomycetota,0.0,24583.03586153,16353.19971483,17858.88035905,16083.15294808,27829.66851386
Bacillota,8025.59200779,4267.8881704,6247.2897787,4926.58768526,5586.77944512,4445.01649874
Bacillota_A,0.0,0.0,0.0,2873.8428164,0.0,0.0
Bacillota_G,0.0,1707.15526816,3674.87634041,2463.29384263,3724.51963008,3092.18539043
Bacteroidota,70223.9300682,63676.89150243,71108.85718696,36744.13315253,57052.86887896,61650.44622168
Bdellovibrionota,4012.7960039,3243.59500951,4409.85160849,0.0,4063.11232372,4251.75491184
Calditrichota,0.0,2219.30184861,3491.13252339,3694.94076394,2878.03789597,2319.13904282
Campylobacterota,0.0,0.0,0.0,0.0,1862.25981504,0.0
Chloroflexota,82663.59768028,73749.10758458,76069.94024651,134660.06339697,90912.13824333,101269.07153655
Desulfobacterota,0.0,3243.59500951,7349.75268082,2052.74486886,6941.1502197,0.0
Desulfobacterota_D,0.0,0.0,0.0,3284.39179017,0.0,0.0
Eisenbacteria,7223.03280702,3926.45711677,4593.59542551,12111.19472625,4063.11232372,4251.75491184
Electryoneota,0.0,7511.48317991,4042.36397445,3694.94076394,6771.85387287,4638.27808564
Firmicutes,4012.7960039,2731.44842906,0.0,0.0,0.0,1932.61586902
Gemmatimonadota,24478.05562377,46093.19224036,37667.48248921,64866.73785586,25902.34106374,47155.82720404
JAGLTZ01,0.0,2390.01737543,0.0,2463.29384263,0.0,3865.23173804
KSB1,0.0,2902.16395587,2572.41343829,3079.11730328,3385.92693644,2512.40062972
Krumholzibacteriota,0.0,7511.48317991,9738.42230209,9032.07742297,6433.26117923,6377.63236776
Marinisomatota,0.0,3585.02606314,1837.43817021,0.0,3555.22328326,2898.92380353
Myxococcota,28089.57202728,15535.11294027,13045.81100846,10674.27331805,8803.41003474,10049.60251889
Myxococcota_A,0.0,12632.9489844,10473.39757017,4516.03871148,9142.00272838,10049.60251889
Planctomycetota,9229.43080896,15022.96635982,9738.42230209,18679.97830659,17606.82006947,17007.01964736
Proteobacteria,6821.75320663,0.0,0.0,0.0,0.0,0.0
Pseudomonadota,88682.79168613,53604.67542028,59532.99671466,21143.27214922,41985.49401182,30148.80755668
SAR324,0.0,0.0,0.0,0.0,1692.96346822,0.0
Verrucomicrobiota,8025.59200779,0.0,0.0,0.0,0.0,0.0
Zixibacteria,0.0,6316.4744922,4777.33924253,7800.43050165,6433.26117923,3865.23173804
unclassified,36115.16403508,9730.78502852,11392.11665527,8210.97947543,12866.52235846,12562.00314862
