Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Benthicola_azotiphorus_nosZII,0.0,4438.60369722,2388.66962127,2258.01935574,1692.96346822,4058.49332494
CALAKE01_sp937922775_nosZII,0.0,0.0,2388.66962127,0.0,1862.25981504,0.0
CALZIK01_sp024224155_nosZII,0.0,5292.1813313,4042.36397445,2873.8428164,3893.8159769,3092.18539043
CALZJC01_sp945787525_nosZII,0.0,4097.17264359,2388.66962127,0.0,4571.00136419,2319.13904282
DSOS01_sp020354045_nosZII,5216.63480507,0.0,0.0,5952.96011968,0.0,0.0
G020343875_sp020343875_nosZII,6420.47360624,3414.31053632,4226.10779147,14985.03754265,3555.22328326,5797.84760705
G020350445_sp030597245_nosZII,0.0,1877.87079498,3858.62015743,0.0,0.0,5218.06284635
G020350785_sp020350785_nosZII,0.0,2731.44842906,2204.92580425,3694.94076394,0.0,2512.40062972
G020351775_sp030597435_nosZII,0.0,0.0,0.0,3079.11730328,0.0,0.0
G020351855_sp020351855_nosZII,0.0,2560.73290224,0.0,2052.74486886,0.0,2319.13904282
GCA-001735895_sp001735895_nosZII,0.0,0.0,3674.87634041,0.0,4909.59405783,0.0
GCA-020352575_sp020352575_nosZII,0.0,3926.45711677,1837.43817021,0.0,1862.25981504,5604.58602015
GCA-2748055_sp024244665_nosZII,0.0,0.0,2021.18198723,0.0,2539.44520233,0.0
IDS-52_sp020344755_nosZII,0.0,5292.1813313,0.0,2052.74486886,0.0,0.0
IDS-52_sp028280525_nosZII,0.0,2048.58632179,0.0,0.0,0.0,0.0
IDS-52_sp028284495_nosZII,0.0,0.0,3123.64488935,0.0,0.0,0.0
J065_sp024276295_nosZII,0.0,2731.44842906,3123.64488935,0.0,2370.14885551,2898.92380353
JAACFF01_sp009937635_nosZII,0.0,2731.44842906,0.0,0.0,2031.55616186,0.0
JAACFF01_sp020432765_nosZII,0.0,1877.87079498,0.0,0.0,0.0,0.0
JAAEQD01_sp024231855_nosZII,0.0,2390.01737543,0.0,0.0,1692.96346822,0.0
JAAUQL01_sp022360055_nosZII,0.0,2560.73290224,2572.41343829,0.0,1692.96346822,1932.61586902
JABDKH01_sp013002345_nosZII,0.0,0.0,1837.43817021,0.0,0.0,0.0
JABDNZ01_sp013043565_nosZII,0.0,0.0,0.0,3489.66627706,0.0,0.0
JABDNZ01_sp028278645_nosZII,0.0,3243.59500951,4226.10779147,2668.56832951,4232.40867055,4638.27808564
JABDQW01_sp021768055_nosZII,0.0,4438.60369722,0.0,0.0,2031.55616186,0.0
JABDQW01_sp937998645_nosZII,0.0,3414.31053632,4593.59542551,0.0,3216.63058962,3285.44697733
JABGPL01_sp018644935_nosZII,0.0,2048.58632179,0.0,0.0,0.0,0.0
JACRMI01_sp016215025_nosZII,4012.7960039,0.0,0.0,0.0,0.0,0.0
JACZWZ01_sp029263095_nosZII,0.0,0.0,2204.92580425,0.0,0.0,2319.13904282
JAFDCJ01_sp902749685_nosZII,0.0,1877.87079498,3123.64488935,0.0,3555.22328326,0.0
JAFDET01_sp947260035_nosZII,0.0,1707.15526816,0.0,0.0,0.0,0.0
JAGUYW01_sp020061105_nosZII,0.0,0.0,0.0,2052.74486886,0.0,0.0
JAGVTM01_sp020634515_nosZII,0.0,0.0,0.0,0.0,1692.96346822,0.0
JAHDVQ01_sp023384595_nosZII,0.0,0.0,0.0,2258.01935574,0.0,0.0
JAHEDG01_sp024641335_nosZII,0.0,1707.15526816,0.0,0.0,0.0,0.0
JAICEW01_sp025923995_nosZII,5216.63480507,0.0,0.0,2258.01935574,0.0,0.0
JAJDYQ01_sp026196145_nosZII,0.0,2219.30184861,1837.43817021,0.0,0.0,0.0
JAJRVO01_sp024277275_nosZII,0.0,0.0,0.0,2873.8428164,3555.22328326,2898.92380353
JAKQTR01_sp025456345_nosZII,5617.91440546,0.0,0.0,0.0,0.0,0.0
JALGVQ01_sp025774615_nosZII,0.0,2048.58632179,0.0,0.0,0.0,3671.97015113
JALGZO01_sp025774865_nosZII,0.0,0.0,2021.18198723,2052.74486886,2370.14885551,2898.92380353
JALSRI01_sp026984835_nosZII,0.0,3072.87948269,0.0,0.0,0.0,0.0
JALSRK01_sp026984795_nosZII,0.0,0.0,0.0,5747.6856328,2370.14885551,2705.66221663
JANQEY01_sp028278125_nosZII,0.0,4780.03475085,2021.18198723,2052.74486886,5417.4830983,2898.92380353
JANQQF01_sp028285035_nosZII,0.0,0.0,3123.64488935,3079.11730328,3216.63058962,1932.61586902
JANQRA01_sp028284765_nosZII,0.0,3072.87948269,1837.43817021,2052.74486886,2200.85250868,2705.66221663
