Taxon,PA1,PS4,PS5,PS6,PS7,PS9
4572-78,27.0,70.0,86.0,186.0,133.0,102.0
ARS69,0.0,12.0,20.0,15.0,24.0,20.0
Acidimicrobiales,0.0,19.0,0.0,21.0,17.0,10.0
Aggregatilineales,17.0,0.0,14.0,24.0,59.0,15.0
Anaerolineales,68.0,26.0,35.0,121.0,31.0,68.0
Ardenticatenales,0.0,0.0,0.0,0.0,24.0,20.0
Bacillales_B,0.0,10.0,18.0,0.0,0.0,0.0
Bacillales_D,22.0,28.0,12.0,10.0,16.0,20.0
Bacteroidales,0.0,18.0,30.0,0.0,19.0,0.0
Beggiatoales,18.0,0.0,20.0,0.0,0.0,0.0
Bryobacterales,0.0,12.0,10.0,42.0,18.0,21.0
Burkholderiales,148.0,12.0,13.0,12.0,0.0,11.0
CSP1-4,0.0,0.0,0.0,0.0,0.0,15.0
Caldilineales,24.0,33.0,44.0,51.0,35.0,57.0
Campylobacterales,0.0,0.0,0.0,0.0,11.0,0.0
Chitinophagales,47.0,48.0,36.0,16.0,65.0,53.0
Chloroflexales,0.0,0.0,14.0,0.0,14.0,0.0
Chromatiales,18.0,79.0,79.0,30.0,56.0,38.0
Cytophagales,11.0,61.0,61.0,0.0,52.0,39.0
DRLW01,0.0,11.0,0.0,14.0,0.0,0.0
DSM-19610,0.0,18.0,0.0,0.0,0.0,0.0
DSTF01,0.0,0.0,0.0,28.0,0.0,0.0
DUEN01,0.0,11.0,0.0,10.0,0.0,0.0
Desulfobacterales,0.0,13.0,23.0,0.0,25.0,0.0
Electryoneales,0.0,32.0,15.0,10.0,34.0,16.0
Fen-336,24.0,0.0,0.0,50.0,0.0,13.0
Flavobacteriales,17.0,150.0,166.0,57.0,103.0,114.0
GCA-001735895,0.0,11.0,23.0,0.0,32.0,10.0
GCF-002020875,0.0,0.0,0.0,0.0,10.0,0.0
GN15,0.0,13.0,13.0,26.0,20.0,12.0
Gemmatimonadales,53.0,58.0,38.0,176.0,46.0,73.0
Haliangiales,13.0,0.0,0.0,0.0,0.0,0.0
Hatepunaeales,0.0,12.0,0.0,0.0,0.0,0.0
Ignavibacteriales,23.0,28.0,27.0,26.0,18.0,32.0
J045,0.0,19.0,20.0,15.0,22.0,18.0
J102,0.0,19.0,14.0,0.0,0.0,10.0
JAAEKA01,0.0,0.0,0.0,0.0,0.0,11.0
JACNKJ01,0.0,0.0,10.0,0.0,0.0,0.0
JAGLTZ01,0.0,14.0,0.0,12.0,0.0,20.0
JAJDYQ01,0.0,14.0,10.0,0.0,0.0,0.0
Kapaibacteriales,0.0,0.0,0.0,0.0,10.0,0.0
LZORAL124-64-63,0.0,13.0,28.0,31.0,31.0,17.0
Lachnospirales,0.0,0.0,0.0,14.0,0.0,0.0
Limnochordales,0.0,10.0,20.0,12.0,22.0,16.0
Limnocylindrales,0.0,18.0,15.0,16.0,10.0,18.0
Longimicrobiales,0.0,135.0,99.0,83.0,81.0,89.0
Marinisomatales,0.0,13.0,0.0,0.0,15.0,0.0
Multivoradales,0.0,62.0,42.0,34.0,57.0,42.0
Myxococcales,24.0,13.0,0.0,19.0,11.0,0.0
P2-11E,0.0,0.0,0.0,0.0,13.0,0.0
PLA2,0.0,0.0,0.0,34.0,12.0,14.0
Palauibacterales,0.0,74.0,66.0,52.0,24.0,77.0
Phycisphaerales,10.0,49.0,33.0,45.0,57.0,47.0
Polarisedimenticolales,0.0,51.0,51.0,30.0,58.0,47.0
Polyangiales,14.0,65.0,54.0,24.0,32.0,45.0
Promineifilales,12.0,171.0,109.0,101.0,151.0,118.0
Promineofilales,0.0,0.0,0.0,0.0,11.0,0.0
QHBO01,0.0,14.0,10.0,0.0,0.0,11.0
RBG-13-44-9,0.0,10.0,15.0,10.0,12.0,10.0
RBG-16-71-46,16.0,17.0,15.0,40.0,22.0,17.0
RPQK01,0.0,13.0,24.0,18.0,15.0,30.0
Rhizobiales,17.0,10.0,26.0,0.0,11.0,0.0
Rhodobacterales,0.0,10.0,0.0,0.0,0.0,0.0
Rhodospirillales_A,0.0,10.0,27.0,0.0,19.0,0.0
Rhodothermales,0.0,49.0,41.0,29.0,43.0,44.0
SM23-28-2,0.0,0.0,0.0,24.0,0.0,0.0
SZUA-229,0.0,67.0,49.0,10.0,50.0,35.0
SZUA-252,0.0,0.0,10.0,19.0,0.0,0.0
SZUA-365,0.0,0.0,0.0,0.0,10.0,0.0
Tepidiformales,10.0,0.0,0.0,15.0,0.0,0.0
Thermoanaerobaculales,0.0,39.0,11.0,10.0,0.0,17.0
Thermomicrobiales,0.0,0.0,11.0,0.0,0.0,0.0
Thiotrichales,0.0,0.0,13.0,0.0,0.0,0.0
UBA10030,41.0,0.0,14.0,21.0,0.0,0.0
UBA1018,0.0,10.0,11.0,0.0,10.0,11.0
UBA10806,0.0,24.0,13.0,12.0,18.0,0.0
UBA2386,0.0,21.0,12.0,0.0,18.0,16.0
UBA2774,0.0,0.0,0.0,16.0,0.0,0.0
UBA4142,14.0,0.0,0.0,0.0,0.0,0.0
UBA4738,13.0,0.0,0.0,46.0,0.0,11.0
UBA5066,27.0,0.0,0.0,12.0,0.0,10.0
UBA5794,0.0,113.0,75.0,34.0,75.0,112.0
UBA6429,0.0,24.0,14.0,0.0,13.0,14.0
UBA890,0.0,21.0,21.0,0.0,14.0,23.0
UBA9160,0.0,69.0,54.0,19.0,53.0,52.0
Verrucomicrobiales,12.0,0.0,0.0,0.0,0.0,0.0
Vicinamibacterales,51.0,13.0,17.0,80.0,0.0,13.0
WVZY01,0.0,27.0,15.0,13.0,0.0,13.0
unclassified,282.0,330.0,322.0,300.0,370.0,347.0
