#OTU ID	PA1	PS4	PS5	PS6	PS7	PS9
OTU_10	0.004167	0	0	0.0125	0.0125	0.004167
OTU_1011	0	0	0	0	0.008333	0
OTU_1015	0	0.004167	0	0	0.004167	0.008333
OTU_1018	0	0	0.004167	0	0	0.004167
OTU_1023	0.0125	0	0	0	0.008333	0
OTU_1027	0.004167	0	0	0.004167	0	0
OTU_1041	0	0	0	0	0	0
OTU_1048	0	0	0	0.008333	0	0
OTU_1053	0	0.0125	0	0	0	0
OTU_1061	0	0	0	0.004167	0	0
OTU_107	0	0	0	0.004167	0	0
OTU_1082	0.004167	0	0	0.0125	0	0
OTU_109	0	0.0125	0.004167	0.004167	0	0.0125
OTU_1104	0	0	0	0.004167	0	0.004167
OTU_111	0.01667	0	0	0.02917	0	0
OTU_1135	0	0	0	0.004167	0	0.008333
OTU_1173	0	0	0	0	0.008333	0.004167
OTU_1185	0	0	0.004167	0.004167	0	0
OTU_119	0	0	0	0	0.01667	0
OTU_1192	0	0	0.004167	0.008333	0	0
OTU_1197	0	0.008333	0	0	0	0
OTU_12	0	0	0	0.008333	0.008333	0
OTU_1201	0	0.0125	0	0	0	0.004167
OTU_1203	0.004167	0.004167	0.008333	0	0.004167	0
OTU_1224	0	0	0	0	0.004167	0
OTU_124	0	0.01667	0.004167	0.008333	0	0.008333
OTU_1240	0	0	0	0.004167	0.004167	0.008333
OTU_1246	0.004167	0	0.008333	0	0	0.0125
OTU_1263	0	0.008333	0.004167	0	0	0
OTU_1282	0.008333	0	0.004167	0.008333	0	0.008333
OTU_1300	0.02083	0	0	0	0.004167	0.008333
OTU_1308	0	0	0.004167	0	0.004167	0
OTU_1317	0	0.004167	0	0	0.004167	0.004167
OTU_1318	0	0	0	0	0.004167	0
OTU_1323	0	0.004167	0.008333	0	0.0125	0.0125
OTU_1349	0	0.008333	0	0	0	0
OTU_135	0	0	0.008333	0.004167	0.025	0
OTU_1366	0	0	0	0.004167	0	0
OTU_1367	0	0	0	0.0125	0	0
OTU_1368	0	0	0	0	0	0
OTU_1387	0	0.004167	0.008333	0	0	0
OTU_1416	0	0	0	0	0	0
OTU_142	0	0.008333	0.004167	0	0.008333	0
OTU_1421	0	0	0.004167	0	0.008333	0
OTU_1462	0	0.008333	0	0	0	0
OTU_1467	0.008333	0.004167	0	0	0	0
OTU_148	0	0.008333	0	0	0	0
OTU_1490	0.008333	0	0.004167	0	0	0
OTU_1492	0	0.004167	0.004167	0.008333	0.0125	0
OTU_1516	0	0	0	0	0	0
OTU_1526	0	0.004167	0	0	0	0
OTU_155	0	0	0	0.03333	0	0
OTU_1557	0	0	0	0.004167	0.004167	0
OTU_1571	0	0.008333	0.004167	0.004167	0	0.01667
OTU_1574	0	0.004167	0	0	0.008333	0.02083
OTU_1585	0	0	0.004167	0	0.004167	0.004167
OTU_1606	0	0.0125	0	0.004167	0	0.004167
OTU_1608	0.04167	0	0.0125	0	0.0125	0
OTU_1629	0	0	0.0125	0	0	0
OTU_163	0	0	0	0	0	0.0125
OTU_1657	0	0	0	0	0	0.004167
OTU_1669	0	0	0	0.008333	0.01667	0
OTU_1676	0	0.008333	0.004167	0.008333	0	0.008333
OTU_1678	0	0.004167	0	0.008333	0	0
OTU_1687	0	0	0.004167	0	0.004167	0
OTU_1703	0	0	0.004167	0	0.008333	0
OTU_1710	0.008333	0	0.004167	0	0.004167	0.0125
OTU_1716	0	0	0	0	0	0.004167
OTU_1725	0.008333	0.004167	0.004167	0.004167	0	0
OTU_1726	0.008333	0.004167	0.0125	0	0.004167	0.004167
OTU_1728	0	0	0	0	0	0
OTU_1729	0	0	0	0.0125	0	0
OTU_1740	0	0	0	0	0.004167	0
OTU_1757	0	0	0.004167	0	0	0
OTU_179	0	0.008333	0	0	0	0
OTU_1812	0	0	0.01667	0	0.004167	0
OTU_1828	0	0	0	0	0	0.008333
OTU_183	0.01667	0	0.01667	0.004167	0.004167	0.008333
OTU_1832	0	0	0.004167	0	0.004167	0
OTU_1843	0.0125	0.004167	0	0	0	0
OTU_185	0	0.004167	0	0.008333	0	0.004167
OTU_1856	0	0	0.008333	0	0	0
OTU_1861	0	0	0.004167	0.02083	0	0
OTU_1863	0.008333	0	0	0.0125	0	0
OTU_1873	0	0	0	0	0.008333	0.004167
OTU_1884	0	0	0	0.008333	0.008333	0.008333
OTU_1886	0	0	0	0.0125	0	0
OTU_1890	0	0.0125	0	0	0.004167	0.008333
OTU_1892	0	0	0	0.004167	0.004167	0
OTU_1907	0	0	0	0.008333	0	0
OTU_191	0	0.008333	0.004167	0.004167	0	0
OTU_1912	0	0	0.004167	0	0.004167	0
OTU_1916	0	0	0.004167	0	0.01667	0.004167
OTU_1917	0	0.004167	0.004167	0.008333	0	0.004167
OTU_1918	0.03333	0.025	0.025	0.008333	0.004167	0.008333
OTU_1921	0	0	0.0125	0	0	0
OTU_1925	0	0	0	0	0.0125	0
OTU_1935	0	0.004167	0.008333	0.004167	0	0
OTU_1936	0	0	0.004167	0	0	0
OTU_1951	0	0.008333	0.004167	0	0	0
OTU_1971	0	0	0	0.008333	0	0.008333
OTU_1976	0	0.004167	0.004167	0	0.004167	0.008333
OTU_1979	0	0.004167	0.008333	0	0	0
OTU_198	0	0.0125	0	0	0	0.008333
OTU_199	0.03333	0	0	0	0	0
OTU_1995	0	0.008333	0.008333	0	0.0125	0
OTU_20	0	0	0.004167	0.01667	0	0.004167
OTU_2012	0	0	0.008333	0	0	0.008333
OTU_2029	0	0	0.004167	0	0.004167	0
OTU_2031	0.004167	0.004167	0.008333	0.004167	0	0.004167
OTU_2036	0.008333	0	0	0.0125	0	0.0125
OTU_2040	0.008333	0	0.004167	0.02917	0	0
