Taxon,PA1,PS4,PS5,PS6,PS7,PS9
ARS69,0.0,12.0,20.0,15.0,24.0,20.0
Acidobacteriota,118.0,248.0,219.0,311.0,213.0,240.0
Actinobacteriota,14.0,11.0,0.0,23.0,0.0,0.0
Actinomycetota,0.0,144.0,89.0,87.0,95.0,144.0
Bacillota,20.0,25.0,34.0,24.0,33.0,23.0
Bacillota_A,0.0,0.0,0.0,14.0,0.0,0.0
Bacillota_G,0.0,10.0,20.0,12.0,22.0,16.0
Bacteroidota,175.0,373.0,387.0,179.0,337.0,319.0
Bdellovibrionota,10.0,19.0,24.0,0.0,24.0,22.0
Calditrichota,0.0,13.0,19.0,18.0,17.0,12.0
Campylobacterota,0.0,0.0,0.0,0.0,11.0,0.0
Chloroflexota,206.0,432.0,414.0,656.0,537.0,524.0
Desulfobacterota,0.0,19.0,40.0,10.0,41.0,0.0
Desulfobacterota_D,0.0,0.0,0.0,16.0,0.0,0.0
Eisenbacteria,18.0,23.0,25.0,59.0,24.0,22.0
Electryoneota,0.0,44.0,22.0,18.0,40.0,24.0
Firmicutes,10.0,16.0,0.0,0.0,0.0,10.0
Gemmatimonadota,61.0,270.0,205.0,316.0,153.0,244.0
JAGLTZ01,0.0,14.0,0.0,12.0,0.0,20.0
KSB1,0.0,17.0,14.0,15.0,20.0,13.0
Krumholzibacteriota,0.0,44.0,53.0,44.0,38.0,33.0
Marinisomatota,0.0,21.0,10.0,0.0,21.0,15.0
Myxococcota,70.0,91.0,71.0,52.0,52.0,52.0
Myxococcota_A,0.0,74.0,57.0,22.0,54.0,52.0
Planctomycetota,23.0,88.0,53.0,91.0,104.0,88.0
Proteobacteria,17.0,0.0,0.0,0.0,0.0,0.0
Pseudomonadota,221.0,314.0,324.0,103.0,248.0,156.0
SAR324,0.0,0.0,0.0,0.0,10.0,0.0
Verrucomicrobiota,20.0,0.0,0.0,0.0,0.0,0.0
Zixibacteria,0.0,37.0,26.0,38.0,38.0,20.0
unclassified,90.0,57.0,62.0,40.0,76.0,65.0
