Taxon,PA1,PS4,PS5,PS6,PS7,PS9
Benthicola_azotiphorus_nosZII,0.0,26.0,13.0,11.0,10.0,21.0
CALAKE01_sp937922775_nosZII,0.0,0.0,13.0,0.0,11.0,0.0
CALZIK01_sp024224155_nosZII,0.0,31.0,22.0,14.0,23.0,16.0
CALZJC01_sp945787525_nosZII,0.0,24.0,13.0,0.0,27.0,12.0
DSOS01_sp020354045_nosZII,13.0,0.0,0.0,29.0,0.0,0.0
G020343875_sp020343875_nosZII,16.0,20.0,23.0,73.0,21.0,30.0
G020350445_sp030597245_nosZII,0.0,11.0,21.0,0.0,0.0,27.0
G020350785_sp020350785_nosZII,0.0,16.0,12.0,18.0,0.0,13.0
G020351775_sp030597435_nosZII,0.0,0.0,0.0,15.0,0.0,0.0
G020351855_sp020351855_nosZII,0.0,15.0,0.0,10.0,0.0,12.0
GCA-001735895_sp001735895_nosZII,0.0,0.0,20.0,0.0,29.0,0.0
GCA-020352575_sp020352575_nosZII,0.0,23.0,10.0,0.0,11.0,29.0
GCA-2748055_sp024244665_nosZII,0.0,0.0,11.0,0.0,15.0,0.0
IDS-52_sp020344755_nosZII,0.0,31.0,0.0,10.0,0.0,0.0
IDS-52_sp028280525_nosZII,0.0,12.0,0.0,0.0,0.0,0.0
IDS-52_sp028284495_nosZII,0.0,0.0,17.0,0.0,0.0,0.0
J065_sp024276295_nosZII,0.0,16.0,17.0,0.0,14.0,15.0
JAACFF01_sp009937635_nosZII,0.0,16.0,0.0,0.0,12.0,0.0
JAACFF01_sp020432765_nosZII,0.0,11.0,0.0,0.0,0.0,0.0
JAAEQD01_sp024231855_nosZII,0.0,14.0,0.0,0.0,10.0,0.0
JAAUQL01_sp022360055_nosZII,0.0,15.0,14.0,0.0,10.0,10.0
JABDKH01_sp013002345_nosZII,0.0,0.0,10.0,0.0,0.0,0.0
JABDNZ01_sp013043565_nosZII,0.0,0.0,0.0,17.0,0.0,0.0
JABDNZ01_sp028278645_nosZII,0.0,19.0,23.0,13.0,25.0,24.0
JABDQW01_sp021768055_nosZII,0.0,26.0,0.0,0.0,12.0,0.0
JABDQW01_sp937998645_nosZII,0.0,20.0,25.0,0.0,19.0,17.0
JABGPL01_sp018644935_nosZII,0.0,12.0,0.0,0.0,0.0,0.0
JACRMI01_sp016215025_nosZII,10.0,0.0,0.0,0.0,0.0,0.0
JACZWZ01_sp029263095_nosZII,0.0,0.0,12.0,0.0,0.0,12.0
JAFDCJ01_sp902749685_nosZII,0.0,11.0,17.0,0.0,21.0,0.0
JAFDET01_sp947260035_nosZII,0.0,10.0,0.0,0.0,0.0,0.0
JAGUYW01_sp020061105_nosZII,0.0,0.0,0.0,10.0,0.0,0.0
JAGVTM01_sp020634515_nosZII,0.0,0.0,0.0,0.0,10.0,0.0
